,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
915,2007,Edgerrin James,ARI,29,16,16,324,1222,7,27,3.8,76.4,5,1.09,6.422018348623854,7.0,7.0
916,2006,Edgerrin James,ARI,28,16,16,337,1159,6,18,3.4,72.4,3,1.02,9.31372549019608,9.5,9.5
917,2005,Edgerrin James,IND,27,15,15,360,1506,13,33,4.2,100.4,2,0.855,10.621052631578948,9.081,9.081
497,2020,Ezekiel Elliott,DAL,25,7,7,113,458,5,24,4.1,65.4,5,1.982,5.49949545913219,10.9,19.8
498,2019,Ezekiel Elliott,DAL,24,16,16,301,1357,12,33,4.5,84.8,3,1.882,3.3685722635494164,6.339653,8.252137
499,2018,Ezekiel Elliott,DAL,23,15,15,304,1434,6,41,4.7,95.6,6,1.772,3.841012415349887,6.806274,2.718758
500,2017,Ezekiel Elliott,DAL,22,10,10,242,983,7,30,4.1,98.3,1,1.67,3.0614982035928144,5.112702,1.025186
501,2016,Ezekiel Elliott,DAL,21,15,15,322,1631,15,60,5.1,108.7,5,1.5527,2.922339151156051,4.537516,16.800064
991,2013,Felix Jones,PIT,26,16,2,48,184,0,14,3.8,11.5,1,1.23,0.4776422764227642,0.5875,0.78
655,2020,Frank Gore,NYJ,37,7,6,86,310,0,14,3.6,44.3,0,1.982,0.3784056508577195,0.75,1.05
656,2019,Frank Gore,BUF,36,16,8,166,599,2,41,3.6,37.4,0,1.882,1.0626992561105209,2.0,2.0
657,2018,Frank Gore,MIA,35,14,14,156,722,0,39,4.6,51.6,1,1.772,0.623589164785553,1.105,1.105
658,2017,Frank Gore,IND,34,16,16,261,961,3,21,3.7,60.1,3,1.67,2.095808383233533,3.5,3.5
659,2016,Frank Gore,IND,33,16,16,263,1025,4,22,3.9,64.1,2,1.5527,2.5761576608488443,4.0,4.0
660,2015,Frank Gore,IND,32,16,16,260,967,6,37,3.7,60.4,4,1.4328,3.1407035175879394,4.5,4.5
661,2014,Frank Gore,SFO,31,16,16,255,1106,4,52,4.3,69.1,2,1.33,4.849624060150376,6.45,6.45
662,2013,Frank Gore,SFO,30,16,16,276,1128,9,51,4.1,70.5,3,1.23,5.2439024390243905,6.45,6.45
663,2012,Frank Gore,SFO,29,16,16,258,1214,8,37,4.7,75.9,3,1.206,4.975124378109453,6.0,5.6
664,2011,Frank Gore,SFO,28,16,15,282,1211,8,55,4.3,75.7,2,1.2,5.944166666666665,7.133,5.0
666,2009,Frank Gore,SFO,26,14,14,229,1120,10,80,4.9,80.0,4,1.23,5.011585365853659,6.16425,4.03125
667,2008,Frank Gore,SFO,25,14,14,240,1036,6,41,4.3,74.0,6,1.16,4.133620689655173,4.795,6.827
668,2007,Frank Gore,SFO,24,15,15,260,1102,5,43,4.2,73.5,4,1.09,2.631040366972477,2.867834,7.035
669,2006,Frank Gore,SFO,23,16,16,312,1695,8,72,5.4,105.9,6,1.02,0.5390519607843138,0.549833,0.35
670,2005,Frank Gore,SFO,22,14,1,127,608,3,72,4.8,43.4,2,0.855,0.5027286549707602,0.429833,0.8295
1662,2013,Frank Summers,BUF,28,15,9,12,46,1,16,3.8,3.1,0,1.23,0.3902439024390244,0.48,0.48
874,2015,Fred Jackson,SEA,34,16,0,26,100,0,16,3.8,6.3,1,1.4328,0.628140703517588,0.9,0.9
875,2014,Fred Jackson,BUF,33,14,9,141,525,2,38,3.7,37.5,5,1.33,2.8947368421052633,3.85,2.7
876,2013,Fred Jackson,BUF,32,16,6,206,890,9,59,4.3,55.6,3,1.23,3.008130081300813,3.7,2.85
877,2012,Fred Jackson,BUF,31,10,8,115,437,3,15,3.8,43.7,5,1.206,3.0514096185737976,3.68,5.405
878,2011,Fred Jackson,BUF,30,10,10,170,934,6,80,5.5,93.4,2,1.2,1.8124999999999998,2.175,1.9
880,2009,Fred Jackson,BUF,28,16,11,237,1062,2,43,4.5,66.4,4,1.23,1.1585365853658536,1.425,2.25
881,2008,Fred Jackson,BUF,27,16,3,130,571,3,32,4.4,35.7,3,1.16,0.3189655172413793,0.37,0.37
882,2007,Fred Jackson,BUF,26,8,1,58,300,0,27,5.2,37.5,0,1.09,0.2614678899082569,0.285,0.285
181,2020,Giovani Bernard,CIN,29,7,1,25,81,1,11,3.2,11.6,0,1.982,2.404977800201816,4.766666,4.1
182,2019,Giovani Bernard,CIN,28,16,2,53,170,0,25,3.2,10.6,2,1.882,2.8250085015940485,5.316666,5.9
183,2018,Giovani Bernard,CIN,27,12,4,56,211,3,23,3.8,17.6,0,1.772,2.39841986455982,4.25,3.45
184,2017,Giovani Bernard,CIN,26,16,2,105,458,2,25,4.4,28.6,0,1.67,2.200598802395209,3.675,3.0
185,2016,Giovani Bernard,CIN,25,10,2,91,337,2,17,3.7,33.7,1,1.5527,2.976439106073292,4.621517,6.321364
186,2015,Giovani Bernard,CIN,24,16,1,154,730,2,28,4.7,45.6,1,1.4328,0.9999504466778336,1.432729,0.882576
187,2014,Giovani Bernard,CIN,23,13,9,168,680,5,89,4.0,52.3,0,1.33,0.8976999999999999,1.193941,0.643788
188,2013,Giovani Bernard,CIN,22,16,0,170,695,5,35,4.1,43.4,2,1.23,0.7765471544715449,0.955153,2.605612
379,2018,Isaiah Crowell,NYJ,25,13,6,143,685,6,77,4.8,52.7,0,1.772,1.1286681715575622,2.0,4.0
380,2017,Isaiah Crowell,CLE,24,16,16,206,853,2,59,4.1,53.3,1,1.67,1.644311377245509,2.746,2.746
381,2016,Isaiah Crowell,CLE,23,16,16,198,952,7,85,4.8,59.5,2,1.5527,0.38857087653764405,0.603334,0.6
382,2015,Isaiah Crowell,CLE,22,16,9,185,706,4,54,3.8,44.1,0,1.4328,0.35827261306532665,0.513333,0.51
383,2014,Isaiah Crowell,CLE,21,16,4,148,607,8,35,4.1,37.9,3,1.33,0.3182954887218045,0.423333,0.43
337,2017,Jamaal Charles,DEN,31,14,0,69,296,1,19,4.3,21.1,2,1.67,1.1695359281437125,1.953125,2.5
338,2016,Jamaal Charles,KAN,30,3,0,12,40,1,17,3.3,13.3,0,1.5527,3.4214593933148705,5.3125,5.1875
339,2015,Jamaal Charles,KAN,29,5,5,71,364,4,34,5.1,72.8,2,1.4328,5.563117671691793,7.970835,6.0125
340,2014,Jamaal Charles,KAN,28,15,15,206,1033,9,63,5.0,68.9,5,1.33,7.243107518796993,9.633333,8.3
341,2013,Jamaal Charles,KAN,27,15,15,259,1287,12,46,5.0,85.8,4,1.23,3.5230349593495935,4.333333,3.0
342,2012,Jamaal Charles,KAN,26,16,15,285,1509,5,91,5.3,94.3,5,1.206,4.007738805970148,4.833333,3.5
343,2011,Jamaal Charles,KAN,25,2,1,12,83,0,24,6.9,41.5,1,1.2,4.111110833333333,4.933333,3.6
345,2009,Jamaal Charles,KAN,23,15,10,190,1120,7,76,5.9,74.7,4,1.23,0.47560975609756106,0.585,0.385
346,2008,Jamaal Charles,KAN,22,16,2,67,357,0,30,5.3,22.3,2,1.16,0.4267241379310345,0.495,0.895
1875,2020,Jamaal Williams,GNB,25,6,2,52,219,1,25,4.2,36.5,0,1.982,1.147577194752775,2.274498,2.133
1876,2019,Jamaal Williams,GNB,24,14,2,107,460,1,45,4.3,32.9,0,1.882,0.4179054197662062,0.786498,0.645
1877,2018,Jamaal Williams,GNB,23,16,8,121,464,3,20,3.8,29.0,0,1.772,0.39305756207674936,0.696498,0.555
1878,2017,Jamaal Williams,GNB,22,16,7,153,556,4,25,3.6,34.8,0,1.67,0.3631724550898204,0.606498,1.030992
371,2020,James Conner,PIT,25,6,5,95,451,4,59,4.7,75.2,1,1.982,0.5053340060544904,1.001572,0.825
372,2019,James Conner,PIT,24,10,10,116,464,4,25,4.0,46.4,1,1.882,0.44876301806588736,0.844572,0.668
373,2018,James Conner,PIT,23,13,12,215,973,12,30,4.5,74.8,4,1.772,0.42583069977426646,0.754572,0.578
374,2017,James Conner,PIT,22,14,0,32,144,0,23,4.5,10.3,0,1.67,0.3841748502994012,0.641572,1.171288
1506,2020,James Robinson,JAX,22,7,7,107,481,4,39,4.5,68.7,2,1.982,0.3086104944500505,0.611666,0.615
19,2018,Jay Ajayi,PHI,25,4,3,45,184,3,20,4.1,46.0,1,1.772,1.0761851015801354,1.907,1.907
20,2017,Jay Ajayi,2TM,24,14,8,208,873,1,71,4.2,62.4,3,1.67,0.194962874251497,0.325588,0.325588
21,2016,Jay Ajayi,MIA,23,15,12,260,1272,8,62,4.9,84.8,4,1.5527,0.3736736008243704,0.580203,0.525
22,2015,Jay Ajayi,MIA,22,9,0,49,187,1,24,3.8,20.8,0,1.4328,0.3037018425460637,0.435144,0.614518
1898,2020,Jeff Wilson,SFO,25,6,1,38,163,4,17,4.3,27.2,0,1.982,0.3784056508577195,0.75,0.75
1899,2019,Jeff Wilson,SFO,24,10,0,27,105,4,25,3.9,10.5,0,1.882,0.2850536663124336,0.536471,0.536471
1900,2018,Jeff Wilson,SFO,23,6,2,66,266,0,18,4.0,44.3,3,1.772,0.09560496613995487,0.169412,0.169412
793,2017,Jeremy Hill,CIN,25,7,7,37,116,0,13,3.1,16.6,1,1.67,0.7151664670658682,1.194328,0.931855
794,2016,Jeremy Hill,CIN,24,15,13,222,839,9,74,3.8,55.9,0,1.5527,0.6593095897468925,1.02371,0.761237
795,2015,Jeremy Hill,CIN,23,16,15,223,794,11,38,3.6,49.6,3,1.4328,0.5954013121161361,0.853091,0.590618
796,2014,Jeremy Hill,CIN,22,16,8,222,1124,9,85,5.1,70.3,5,1.33,0.5131375939849624,0.682473,1.469892
1251,2020,Joe Mixon,CIN,24,6,6,119,428,3,34,3.6,71.3,1,1.982,1.9429556004036328,3.850938,11.325
1252,2019,Joe Mixon,CIN,23,16,15,278,1137,5,41,4.1,71.1,0,1.882,0.7898023379383634,1.486408,0.96047
1253,2017,Joe Mixon,CIN,21,14,7,178,626,4,25,3.5,44.7,3,1.67,0.5933760479041915,0.990938,2.568752
134,2015,Joique Bell,DET,29,13,5,90,311,4,36,3.5,23.9,1,1.4328,2.4427694025683975,3.5,2.5
135,2014,Joique Bell,DET,28,15,6,223,860,7,57,3.9,57.3,5,1.33,1.729323308270677,2.3,4.3
136,2013,Joique Bell,DET,27,16,4,166,650,8,20,3.9,40.6,4,1.23,0.5121951219512195,0.63,0.63
137,2012,Joique Bell,DET,26,16,0,82,414,3,67,5.0,25.9,2,1.206,0.44776119402985076,0.54,0.54
474,2014,Jonathan Dwyer,ARI,25,2,0,16,51,1,20,3.2,25.5,0,1.33,0.4774436090225564,0.635,0.795
475,2013,Jonathan Dwyer,PIT,24,15,0,49,197,0,30,4.0,13.1,0,1.23,0.4820658536585366,0.592941,0.592941
1646,2018,Jonathan Stewart,NYG,31,3,0,6,17,0,5,2.8,5.7,0,1.772,2.2150112866817158,3.925,3.125
1647,2017,Jonathan Stewart,CAR,30,15,10,198,680,6,60,3.4,45.3,3,1.67,3.6976047904191613,6.175,4.21875
1648,2016,Jonathan Stewart,CAR,29,13,13,218,824,9,47,3.8,63.4,3,1.5527,6.150576415276615,9.55,5.75
1649,2015,Jonathan Stewart,CAR,28,13,13,242,989,6,44,4.1,76.1,3,1.4328,5.7928531546622,8.3,4.5
1650,2014,Jonathan Stewart,CAR,27,13,8,175,809,3,69,4.6,62.2,3,1.33,3.4473684210526314,4.585,8.285
1651,2013,Jonathan Stewart,CAR,26,6,1,48,180,0,16,3.8,30.0,1,1.23,2.451219512195122,3.015,3.215
1652,2012,Jonathan Stewart,CAR,25,9,6,93,336,1,21,3.6,37.3,2,1.206,3.640479270315091,4.390418,9.81125
1653,2011,Jonathan Stewart,CAR,24,16,3,142,761,4,32,5.4,47.6,1,1.2,1.928471666666667,2.314166,1.31
1655,2009,Jonathan Stewart,CAR,22,16,3,221,1133,10,67,5.1,70.8,3,1.23,2.36280487804878,2.90625,6.29375
1656,2008,Jonathan Stewart,CAR,21,16,0,184,836,10,41,4.5,52.3,2,1.16,1.2887931034482758,1.495,1.895
1690,2020,Jonathan Taylor,IND,21,6,5,89,367,3,21,4.1,61.2,0,1.982,0.7182048435923309,1.423482,3.863928
831,2020,Jordan Howard,MIA,26,4,2,18,14,3,4,0.8,3.5,1,1.982,2.39656912209889,4.75,4.75
832,2018,Jordan Howard,CHI,24,16,15,250,935,9,42,3.7,58.4,2,1.772,0.3905225733634311,0.692006,0.63
833,2017,Jordan Howard,CHI,23,16,16,276,1122,9,53,4.1,70.1,1,1.67,0.36048263473053893,0.602006,0.54
834,2016,Jordan Howard,CHI,22,15,13,252,1313,6,69,5.2,87.5,2,1.5527,0.3297520448251433,0.512006,0.698024
9,2020,Josh Adams,NYJ,24,2,0,3,8,1,6,2.7,4.0,0,1.982,0.10809031281533805,0.214235,0.214235
10,2019,Josh Adams,NYJ,23,3,0,8,12,0,10,1.5,4.0,0,1.882,0.14252656748140274,0.268235,0.268235
11,2018,Josh Adams,PHI,22,14,5,120,511,3,29,4.3,36.5,1,1.772,0.23901185101580136,0.423529,0.423529
911,2020,Josh Jacobs,LVR,22,6,6,116,394,5,16,3.4,65.7,1,1.982,1.3683834510595358,2.712136,1.037427
912,2019,Josh Jacobs,OAK,21,13,13,242,1150,7,51,4.8,88.5,1,1.882,1.152874070138151,2.169709,7.193836
545,2016,Justin Forsett,3TM,31,9,6,87,291,1,64,3.3,32.3,2,1.5527,0.13411154762671473,0.208235,0.208235
546,2015,Justin Forsett,BAL,30,10,10,151,641,2,33,4.2,64.1,0,1.4328,1.1166945840312676,1.6,3.0
547,2014,Justin Forsett,BAL,29,16,14,235,1266,8,52,5.4,79.1,2,1.33,0.4285714285714286,0.57,0.73
548,2013,Justin Forsett,JAX,28,9,0,6,31,0,10,5.2,3.4,1,1.23,0.853658536585366,1.05,1.15
549,2012,Justin Forsett,HOU,27,16,0,63,374,1,81,5.9,23.4,0,1.206,0.4601990049751244,0.555,0.715
550,2011,Justin Forsett,SEA,26,16,0,46,145,1,22,3.2,9.1,0,1.2,0.5,0.6,0.6
552,2009,Justin Forsett,SEA,24,16,2,114,619,4,35,5.4,38.7,4,1.23,0.3130081300813008,0.385,0.385
887,2020,Justin Jackson,LAC,25,4,2,28,96,0,36,3.4,24.0,0,1.982,0.3784056508577195,0.75,0.75
888,2019,Justin Jackson,LAC,24,7,0,29,200,0,40,6.9,28.6,0,1.882,0.3028692879914984,0.57,0.57
889,2018,Justin Jackson,LAC,23,13,1,50,206,2,20,4.1,15.8,0,1.772,0.22307787810383747,0.395294,0.395294
85,2020,Kalen Ballage,NYJ,25,3,0,3,13,0,5,4.3,4.3,0,1.982,0.05509586276488394,0.1092,0.1092
86,2019,Kalen Ballage,MIA,24,12,6,74,135,3,8,1.8,11.3,0,1.882,0.35900531349628045,0.675648,0.528353
87,2018,Kalen Ballage,MIA,23,12,0,36,191,1,75,5.3,15.9,1,1.772,0.3540039503386005,0.627295,1.06918
835,2020,Kareem Hunt,CLE,25,7,3,101,463,3,33,4.6,66.1,1,1.982,2.022704339051463,4.009,4.009
836,2019,Kareem Hunt,CLE,24,8,3,43,179,2,16,4.2,22.4,1,1.882,0.3567853347502657,0.67147,0.596471
837,2018,Kareem Hunt,KAN,23,11,11,181,824,7,45,4.6,74.9,0,1.772,0.0,0.0,0.0
838,2017,Kareem Hunt,KAN,22,16,16,272,1327,8,69,4.9,82.9,1,1.67,0.39460359281437135,0.658988,1.240952
434,2020,Kenyan Drake,ARI,26,7,5,119,512,4,69,4.3,73.1,0,1.982,4.280020181634712,8.483,8.483
435,2019,Kenyan Drake,2TM,25,14,10,170,817,8,80,4.8,58.4,2,1.882,0.5696381509032944,1.072059,1.072059
436,2018,Kenyan Drake,MIA,24,16,7,120,535,4,54,4.5,33.4,2,1.772,0.513721783295711,0.910315,0.705
437,2017,Kenyan Drake,MIA,23,16,6,133,644,3,66,4.8,40.3,2,1.67,0.4792305389221557,0.800315,0.595
438,2016,Kenyan Drake,MIA,22,16,1,33,179,2,45,5.4,11.2,1,1.5527,0.42204868937979,0.655315,1.27126
966,2020,Kerryon Johnson,DET,23,6,2,25,80,1,9,3.2,13.3,0,1.982,0.8949223007063573,1.773736,1.071246
967,2019,Kerryon Johnson,DET,22,8,7,113,403,3,20,3.6,50.4,1,1.882,0.785394792773645,1.478113,0.775623
968,2018,Kerryon Johnson,DET,21,10,7,118,641,3,71,5.4,64.1,1,1.772,0.6673194130925508,1.18249,3.28996
1567,2012,Kevin Smith,DET,26,12,2,37,134,1,19,3.6,11.2,0,1.206,0.44776119402985076,0.54,0.0
1568,2011,Kevin Smith,DET,25,7,4,72,356,4,43,4.9,50.9,1,1.2,0.17647333333333332,0.211768,0.211768
1570,2009,Kevin Smith,DET,23,13,13,217,747,4,31,3.4,57.5,3,1.23,0.489130081300813,0.60163,0.385
1571,2008,Kevin Smith,DET,22,16,12,238,976,8,50,4.1,61.0,2,1.16,0.44106034482758616,0.51163,0.944891
1275,2014,Knowshon Moreno,MIA,27,3,0,31,148,1,15,4.8,49.3,0,1.33,2.2556390977443606,3.0,2.75625
1276,2013,Knowshon Moreno,DEN,26,16,15,241,1038,10,31,4.3,64.9,2,1.23,2.71860162601626,3.34388,1.7
1277,2012,Knowshon Moreno,DEN,25,8,6,138,525,4,20,3.8,65.6,1,1.206,2.0248756218905473,2.442,0.855
1278,2011,Knowshon Moreno,DEN,24,7,2,37,179,0,24,4.8,25.6,1,1.2,2.155833333333333,2.587,1.0
1280,2009,Knowshon Moreno,DEN,22,16,9,247,947,7,36,3.8,59.2,4,1.23,1.4243902439024392,1.752,5.08
1733,2011,LaDainian Tomlinson,NYJ,32,14,1,75,280,1,20,3.7,20.0,0,1.2,2.1875,2.625,2.625
1735,2009,LaDainian Tomlinson,SDG,30,14,14,223,730,12,36,3.3,52.1,2,1.23,6.131438211382114,7.541669,6.725
1736,2008,LaDainian Tomlinson,SDG,29,16,16,292,1110,11,45,3.8,69.4,1,1.16,6.738505172413793,7.816666,5.75
1737,2007,LaDainian Tomlinson,SDG,28,16,16,315,1474,15,49,4.7,92.1,0,1.09,6.48317981651376,7.066666,5.0
1738,2006,LaDainian Tomlinson,SDG,27,16,16,348,1815,28,85,5.2,113.4,2,1.02,6.192809803921569,6.316666,4.25
1739,2005,LaDainian Tomlinson,SDG,26,16,16,339,1462,18,62,4.3,91.4,3,0.855,9.434697076023392,8.066666,5.0
1740,2004,LaDainian Tomlinson,SDG,25,15,15,339,1335,17,42,3.9,89.0,6,0.80582,8.273145367451788,6.666666,16.0
1741,2003,LaDainian Tomlinson,SDG,24,16,16,313,1645,13,73,5.3,102.8,2,0.75007,3.9996267015078586,3.0,1.5
1742,2002,LaDainian Tomlinson,SDG,23,16,16,372,1683,14,76,4.5,105.2,3,0.71101,4.5709624337210455,3.25,1.75
1743,2001,LaDainian Tomlinson,SDG,22,16,16,339,1236,10,54,3.6,77.3,8,0.67405,2.967138936280691,2.0,7.0
1633,2013,LaRod Stephens-Howling,PIT,26,1,0,6,19,0,5,3.2,19.0,0,1.23,0.5040650406504066,0.62,0.78
1244,2018,Lamar Miller,HOU,27,14,14,210,973,5,97,4.6,69.5,1,1.772,3.8092550790067716,6.75,5.703125
1245,2017,Lamar Miller,HOU,26,16,13,238,888,3,21,3.7,55.5,1,1.67,3.892215568862276,6.5,5.5
1246,2016,Lamar Miller,HOU,25,14,14,268,1073,5,45,4.0,76.6,2,1.5527,3.5422167836671603,5.5,8.5
1247,2015,Lamar Miller,MIA,24,16,16,194,872,8,85,4.5,54.5,1,1.4328,1.1610134003350085,1.6635,1.542
1248,2014,Lamar Miller,MIA,23,16,16,216,1099,8,97,5.1,68.7,3,1.33,0.5199248120300752,0.6915,0.57
1249,2013,Lamar Miller,MIA,22,16,15,177,709,2,49,4.0,44.3,1,1.23,0.48902439024390243,0.6015,0.48
1250,2012,Lamar Miller,MIA,21,13,1,51,250,1,28,4.9,19.2,0,1.206,0.42412935323383083,0.5115,0.876
1332,2020,Latavius Murray,NOR,30,6,2,63,265,2,25,4.2,44.2,0,1.982,2.0433905146316853,4.05,3.2
1333,2019,Latavius Murray,NOR,29,16,8,146,637,5,30,4.4,39.8,0,1.882,0.9829968119022316,1.85,4.4
1334,2018,Latavius Murray,MIN,28,16,6,140,578,6,38,4.1,36.1,0,1.772,2.9345372460496613,5.2,4.0
1335,2017,Latavius Murray,MIN,27,16,11,216,842,8,46,3.9,52.6,1,1.67,1.7702095808383234,2.95625,4.25
1336,2016,Latavius Murray,OAK,26,14,12,195,788,12,42,4.0,56.3,2,1.5527,0.4518258517421265,0.70155,0.675
1337,2015,Latavius Murray,OAK,25,16,16,266,1066,6,54,4.0,66.6,4,1.4328,0.426821608040201,0.61155,0.585
1338,2014,Latavius Murray,OAK,24,15,3,82,424,2,90,5.2,28.3,1,1.33,0.3357518796992481,0.44655,0.42
138,2020,Le'Veon Bell,2TM,28,3,2,25,113,0,16,4.5,37.7,0,1.982,0.356146316851665,0.705882,0.705882
139,2019,Le'Veon Bell,NYJ,27,15,15,245,789,3,19,3.2,52.6,1,1.882,4.765541976620616,8.96875,14.46875
140,2017,Le'Veon Bell,PIT,25,15,15,321,1291,9,27,4.0,86.1,3,1.67,7.25748502994012,12.12,12.12
141,2016,Le'Veon Bell,PIT,24,12,12,261,1268,7,44,4.9,105.7,4,1.5527,0.7279873768274618,1.130346,0.796271
142,2015,Le'Veon Bell,PIT,23,6,6,113,556,3,42,4.9,92.7,0,1.4328,0.720325237297599,1.032082,0.687882
143,2014,Le'Veon Bell,PIT,22,16,16,290,1361,8,81,4.7,85.1,0,1.33,0.7041353383458647,0.9365,0.5923
144,2013,Le'Veon Bell,PIT,21,13,13,244,860,8,43,3.5,66.2,1,1.23,0.6091056910569106,0.7492,1.7818
222,2018,LeGarrette Blount,DET,32,16,8,154,418,5,27,2.7,26.1,2,1.772,1.1286681715575622,2.0,2.0
223,2017,LeGarrette Blount,PHI,31,16,11,173,766,2,68,4.4,47.9,1,1.67,0.748502994011976,1.25,1.25
224,2016,LeGarrette Blount,NWE,30,16,8,299,1161,18,44,3.9,72.6,2,1.5527,0.6601404005925161,1.025,1.0
225,2015,LeGarrette Blount,NWE,29,12,6,165,703,6,38,4.3,58.6,1,1.4328,0.66714265773311,0.955882,1.130882
226,2014,LeGarrette Blount,2TM,28,16,1,125,547,5,50,4.4,34.2,1,1.33,0.19371954887218046,0.257647,0.257647
227,2013,LeGarrette Blount,NWE,27,16,7,153,772,7,47,5.0,48.3,3,1.23,0.5528455284552847,0.68,0.78
228,2012,LeGarrette Blount,TAM,26,13,0,41,151,2,35,3.7,11.6,0,1.206,0.44776119402985076,0.54,0.54
229,2011,LeGarrette Blount,TAM,25,14,14,184,781,5,54,4.2,55.8,5,1.2,0.375,0.45,0.45
1188,2020,LeSean McCoy,TAM,32,5,0,6,-1,0,3,-0.2,-0.2,0,1.982,0.3784056508577195,0.75,1.05
1189,2018,LeSean McCoy,BUF,30,14,13,161,514,3,28,3.2,36.7,0,1.772,5.05079006772009,8.95,6.325
1190,2017,LeSean McCoy,BUF,29,16,16,287,1138,6,48,4.0,71.1,3,1.67,6.212574850299402,10.375,6.25
1191,2016,LeSean McCoy,BUF,28,15,15,234,1267,13,75,5.4,84.5,3,1.5527,4.943002511753719,7.675,5.05
1192,2015,LeSean McCoy,BUF,27,12,12,203,895,3,48,4.4,74.6,2,1.4328,3.838637632607482,5.5,16.0
1193,2014,LeSean McCoy,PHI,26,16,16,312,1319,5,53,4.2,82.4,4,1.33,7.293233082706768,9.7,8.0
1194,2013,LeSean McCoy,PHI,25,16,16,314,1607,9,57,5.1,100.4,1,1.23,4.024390243902438,4.95,3.25
1195,2012,LeSean McCoy,PHI,24,12,12,200,840,2,34,4.2,70.0,4,1.206,2.203592868988392,2.657533,9.115
1196,2011,LeSean McCoy,PHI,23,15,15,273,1309,17,60,4.8,87.3,1,1.2,0.7229416666666667,0.86753,0.525
1198,2009,LeSean McCoy,PHI,21,16,4,155,637,4,66,4.1,39.8,2,1.23,0.5305121951219511,0.65253,1.680123
1779,2014,Leon Washington,TEN,32,16,0,13,57,0,16,4.4,3.6,3,1.33,0.4774436090225564,0.635,0.92
850,2020,Mark Ingram,BAL,31,6,6,50,225,2,30,4.5,37.5,0,1.982,2.690884460141272,5.333333,4.0
851,2019,Mark Ingram,BAL,30,15,15,202,1018,10,53,5.0,67.9,2,1.882,1.771165249734325,3.333333,6.0
852,2018,Mark Ingram,NOR,29,12,6,138,645,6,38,4.7,53.8,3,1.772,2.9931286681715576,5.303824,3.558824
853,2017,Mark Ingram,NOR,28,16,12,230,1124,12,72,4.9,70.3,3,1.67,3.2005988023952097,5.345,3.7
854,2016,Mark Ingram,NOR,27,16,14,205,1043,6,75,5.1,65.2,2,1.5527,1.6165389321826498,2.51,3.1
855,2015,Mark Ingram,NOR,26,12,10,166,769,6,70,4.6,64.1,2,1.4328,1.3958682300390843,2.0,4.7
856,2014,Mark Ingram,NOR,25,13,9,226,964,9,31,4.3,74.2,3,1.33,1.7743421052631583,2.359875,1.386375
857,2013,Mark Ingram,NOR,24,11,3,78,386,1,34,4.9,35.1,1,1.23,1.6445121951219512,2.02275,1.04925
858,2012,Mark Ingram,NOR,23,16,5,156,602,5,31,3.9,37.6,0,1.206,1.3976990049751243,1.685625,0.712125
859,2011,Mark Ingram,NOR,22,10,4,122,474,5,35,3.9,47.4,1,1.2,1.12375,1.3485,4.269
1129,2020,Marlon Mack,IND,24,1,1,4,26,0,18,6.5,26.0,0,1.982,1.1291180625630677,2.237912,2.133
1130,2019,Marlon Mack,IND,23,14,12,247,1091,8,63,4.4,77.9,0,1.882,0.3984654622741764,0.749912,0.645
1131,2018,Marlon Mack,IND,22,12,10,195,908,9,49,4.7,75.7,2,1.772,0.37241083521444696,0.659912,0.555
1132,2017,Marlon Mack,IND,21,14,0,93,358,3,35,3.8,25.6,1,1.67,0.34126467065868266,0.569912,0.884648
79,2016,Matt Asiata,MIN,29,16,6,121,402,6,29,3.3,25.1,1,1.5527,0.5409931087782572,0.84,0.84
80,2015,Matt Asiata,MIN,28,16,0,29,112,0,19,3.9,7.0,0,1.4328,0.5583472920156336,0.8,0.8
81,2014,Matt Asiata,MIN,27,15,9,164,570,9,19,3.5,38.0,1,1.33,0.4285714285714286,0.57,0.57
82,2013,Matt Asiata,MIN,26,11,1,44,166,3,39,3.8,15.1,1,1.23,0.3902439024390244,0.48,0.48
251,2020,Matt Breida,MIA,25,6,0,33,115,0,12,3.5,19.2,1,1.982,1.6442986881937436,3.259,3.259
252,2019,Matt Breida,SFO,24,13,5,123,623,1,83,5.1,47.9,2,1.882,0.3436068012752391,0.646668,0.645
253,2018,Matt Breida,SFO,23,14,13,153,814,3,66,5.3,58.1,1,1.772,0.3082697516930023,0.546254,0.544588
254,2017,Matt Breida,SFO,22,16,0,105,465,2,33,4.4,29.1,1,1.67,0.2794407185628742,0.466666,0.47
1009,2017,Matt Jones,IND,24,5,0,5,14,0,5,2.8,2.8,0,1.67,0.08862275449101796,0.148,0.148
1010,2016,Matt Jones,WAS,23,7,7,99,460,3,57,4.6,65.7,3,1.5527,0.44364912732659245,0.688854,0.539
1011,2015,Matt Jones,WAS,22,13,0,144,490,3,39,3.4,37.7,5,1.4328,0.40818955890563935,0.584854,1.034416
439,2014,Maurice Jones-Drew,OAK,29,12,1,43,96,0,13,2.2,8.0,1,1.33,1.879699248120301,2.5,2.5
440,2013,Maurice Jones-Drew,JAX,28,15,15,234,803,5,48,3.4,53.5,1,1.23,5.5284552845528445,6.8,4.95
441,2012,Maurice Jones-Drew,JAX,27,6,5,86,414,1,59,4.8,69.0,2,1.206,5.306799336650083,6.4,4.45
