,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
494,2015,Andre Ellington,ARI,26,10,2,45,289,3,63,6.4,28.9,1,1.4328,0.42641401451702965,0.610966,0.585
495,2014,Andre Ellington,ARI,25,12,12,201,660,3,22,3.3,55.0,2,1.33,0.39170375939849633,0.520966,0.495
496,2013,Andre Ellington,ARI,24,15,1,118,652,3,80,5.5,43.5,1,1.23,0.3503788617886179,0.430966,0.508864
1844,2017,Andre Williams,LAC,25,8,0,9,25,0,7,2.8,3.1,0,1.67,0.28721377245508983,0.479647,0.479647
1845,2016,Andre Williams,SDG,24,1,0,18,87,0,14,4.8,87.0,0,1.5527,0.02273072712049977,0.035294,0.035294
1846,2015,Andre Williams,NYG,23,16,0,88,257,1,35,2.9,16.1,0,1.4328,0.4350921273031826,0.6234,0.51
1847,2014,Andre Williams,NYG,22,16,7,217,721,7,50,3.3,45.1,1,1.33,0.4010526315789474,0.5334,0.8736
74,2015,Antonio Andrews,TEN,23,14,10,143,520,3,38,3.6,37.1,1,1.4328,0.35594639865996647,0.51,0.51
488,2020,Austin Ekeler,LAC,25,4,4,49,248,1,13,5.1,62.0,0,1.982,2.5227043390514634,5.0,9.5
489,2019,Austin Ekeler,LAC,24,16,8,132,557,3,35,4.2,34.8,3,1.882,0.3436068012752391,0.646668,0.645
490,2018,Austin Ekeler,LAC,23,14,3,106,554,3,41,5.2,39.6,1,1.772,0.3141455981941309,0.556666,0.555
491,2017,Austin Ekeler,LAC,22,16,0,47,260,2,35,5.5,16.3,2,1.67,0.2794407185628742,0.466666,0.47
1664,2013,Ben Tate,HOU,25,14,7,181,771,4,60,4.3,55.1,5,1.23,0.7310975609756099,0.89925,0.63
1665,2012,Ben Tate,HOU,24,11,0,65,279,2,25,4.3,25.4,1,1.206,0.6295605306799337,0.75925,0.49
1666,2011,Ben Tate,HOU,23,15,2,175,942,4,56,5.4,62.8,4,1.2,0.561875,0.67425,0.405
699,2013,BenJarvus Green-Ellis,CIN,28,16,16,220,756,7,25,3.4,47.3,2,1.23,2.642276422764228,3.25,2.5
700,2012,BenJarvus Green-Ellis,CIN,27,15,15,278,1094,6,48,3.9,72.9,3,1.206,2.487562189054726,3.0,4.25
701,2011,BenJarvus Green-Ellis,NWE,26,16,6,181,667,11,18,3.7,41.7,0,1.2,1.5291666666666668,1.835,1.835
703,2009,BenJarvus Green-Ellis,NWE,24,12,0,26,114,0,29,4.4,9.5,0,1.23,0.3130081300813008,0.385,0.385
704,2008,BenJarvus Green-Ellis,NWE,23,9,3,74,275,5,15,3.7,30.6,0,1.16,0.17951293103448274,0.208235,0.208235
1401,2015,Bernard Pierce,JAX,24,7,0,6,11,0,4,1.8,1.6,0,1.4328,0.46063651591289784,0.66,0.66
1402,2014,Bernard Pierce,BAL,23,13,2,93,366,2,28,3.9,28.2,1,1.33,0.5330721804511278,0.708986,0.57
1403,2013,Bernard Pierce,BAL,22,16,1,152,436,2,28,2.9,27.3,0,1.23,0.503240650406504,0.618986,0.48
1404,2012,Bernard Pierce,BAL,21,16,0,108,532,1,78,4.9,33.3,0,1.206,0.43862852404643454,0.528986,0.945944
1427,2018,Bilal Powell,NYJ,30,7,7,80,343,0,38,4.3,49.0,2,1.772,2.7558318284424375,4.883334,4.0
