playerid,year,playername,team,age,pos,g,gs,tgt,rec,catchpercent,yds,yardsperrec,tds,firstdowns,longgain,yardspertarget,recpergame,yardspergame,fumbles
BBajeBi00,2011,Billy Bajema,STL,29,TE,16,12,14.0,9,64.3%,71,7.9,0,2,19,5.1,0.6,4.4,0.0
BBajeBi00,2010,Billy Bajema,STL,28,TE,13,8,24.0,14,58.3%,145,10.4,2,8,26,6.0,1.1,11.2,1.0
BBajeBi00,2009,Billy Bajema,STL,27,te,16,5,11.0,8,72.7%,94,11.8,0,4,27,8.5,0.5,5.9,0.0
BBajeBi00,2008,Billy Bajema,SFO,26,TE,16,10,4.0,2,50.0%,34,17.0,0,1,29,8.5,0.1,2.1,0.0
BBajeBi00,2005,Billy Bajema,SFO,23,TE,15,7,10.0,5,50.0%,54,10.8,0,2,24,5.4,0.3,3.6,0.0
BBakeCh00,2010,Chris Baker,SEA,31,TE,16,13,19.0,9,47.4%,116,12.9,1,4,44,6.1,0.6,7.3,0.0
BBakeCh00,2009,Chris Baker,NWE,30,te,16,7,19.0,14,73.7%,142,10.1,2,6,36,7.5,0.9,8.9,0.0
BBakeCh00,2008,Chris Baker,NYJ,29,TE,16,13,30.0,21,70.0%,194,9.2,0,11,29,6.5,1.3,12.1,0.0
BBakeCh00,2007,Chris Baker,NYJ,28,TE,15,15,61.0,41,67.2%,409,10.0,3,29,22,6.7,2.7,27.3,1.0
BBakeCh00,2006,Chris Baker,NYJ,27,TE,16,14,45.0,31,68.9%,300,9.7,4,18,28,6.7,1.9,18.8,0.0
BBakeCh00,2005,Chris Baker,NYJ,26,TE,8,8,25.0,18,72.0%,269,14.9,1,11,47,10.8,2.3,33.6,1.0
BBakeCh00,2004,Chris Baker,NYJ,25,,16,0,29.0,18,62.1%,182,10.1,4,12,23,6.3,1.1,11.4,1.0
BBakeCh00,2003,Chris Baker,NYJ,24,,16,0,18.0,14,77.8%,137,9.8,0,8,24,7.6,0.9,8.6,0.0
BBakeCh00,2002,Chris Baker,NYJ,23,,12,1,3.0,2,66.7%,14,7.0,0,1,10,4.7,0.2,1.2,0.0
BBakeDa01,2008,Dallas Baker,PIT,26,,8,0,2.0,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.8,0.0
BBakeEd01,2013,Edwin Baker,CLE,22,,3,2,9.0,8,88.9%,57,7.1,0,3,16,6.3,2.7,19.0,0.0
BBakeEu00,1999,Eugene Baker,ATL,23,,3,1,14.0,7,50.0%,118,16.9,0,5,36,8.4,2.3,39.3,0.0
BBakeJo01,2011,Josh Baker,NYJ,25,,11,0,4.0,3,75.0%,27,9.0,1,2,17,6.8,0.3,2.5,0.0
BBakeRo00,2002,Robert Baker,MIA,26,,10,0,4.0,1,25.0%,17,17.0,0,1,17,4.3,0.1,1.7,0.0
BBaldDo00,2018,Doug Baldwin ,SEA,30,WR,13,13,73.0,50,68.5%,618,12.4,5,33,42,8.5,3.8,47.5,0.0
BBaldDo00,2017,Doug Baldwin ,SEA,29,WR,16,16,116.0,75,64.7%,991,13.2,8,44,54,8.5,4.7,61.9,0.0
BBaldDo00,2016,Doug Baldwin ,SEA,28,WR,16,15,125.0,94,75.2%,1128,12.0,7,51,59,9.0,5.9,70.5,1.0
BBaldDo00,2015,Doug Baldwin ,SEA,27,WR,16,16,103.0,78,75.7%,1069,13.7,14,49,80,10.4,4.9,66.8,1.0
BBaldDo00,2014,Doug Baldwin ,SEA,26,WR,16,16,98.0,66,67.3%,825,12.5,3,43,49,8.4,4.1,51.6,1.0
BBaldDo00,2013,Doug Baldwin ,SEA,25,WR,16,9,72.0,50,69.4%,778,15.6,5,38,52,10.8,3.1,48.6,0.0
BBaldDo00,2012,Doug Baldwin ,SEA,24,,14,4,50.0,29,58.0%,366,12.6,3,19,50,7.3,2.1,26.1,0.0
