playerid,year,playername,team,age,pos,g,gs,tgt,rec,catchpercent,yds,yardsperrec,tds,firstdowns,longgain,yardspertarget,recpergame,yardspergame,fumbles
BBlueAl00,2016,Alfred Blue,HOU,25,,14,2,16.0,12,75.0%,40,3.3,0,1,12,2.5,0.9,2.9,2.0
BBlueAl00,2015,Alfred Blue,HOU,24,RB,16,9,16.0,15,93.8%,109,7.3,1,2,21,6.8,0.9,6.8,2.0
BBlueAl00,2014,Alfred Blue,HOU,23,rb,16,3,18.0,15,83.3%,113,7.5,1,7,22,6.3,0.9,7.1,0.0
BBoarC.00,2020,C.J. Board,NYG,27,,9,4,13.0,9,69.2%,87,9.7,0,5,12,6.7,1.0,9.7,0.0
BBoarC.00,2019,C.J. Board,JAX,26,,4,0,4.0,2,50.0%,31,15.5,0,1,23,7.8,0.5,7.8,0.0
BBoboOr20,1999,Orlando Bobo,CLE,25,,9,1,1.0,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.3,0.0
BBodiSh00,2007,Shaun Bodiford,GNB,25,,6,0,1.0,1,100.0%,13,13.0,0,1,13,13.0,0.2,2.2,0.0
BBoerMa00,2005,Marc Boerigter,KAN,27,,10,0,16.0,8,50.0%,119,14.9,0,5,38,7.4,0.8,11.9,0.0
BBoerMa00,2003,Marc Boerigter,KAN,25,,15,0,26.0,11,42.3%,158,14.4,0,8,30,6.1,0.7,10.5,0.0
BBoerMa00,2002,Marc Boerigter,KAN,24,,16,2,38.0,20,52.6%,420,21.0,8,17,99,11.1,1.3,26.3,0.0
BBohaTo00,2018,Tommy Bohanon,JAX,28,FB,16,6,9.0,6,66.7%,41,6.8,0,1,12,4.6,0.4,2.6,0.0
BBohaTo00,2017,Tommy Bohanon,JAX,27,fb,16,10,11.0,6,54.5%,43,7.2,1,3,14,3.9,0.4,2.7,0.0
BBohaTo00,2015,Tommy Bohanon,NYJ,25,,16,4,8.0,4,50.0%,56,14.0,0,3,23,7.0,0.3,3.5,0.0
BBohaTo00,2014,Tommy Bohanon,NYJ,24,,4,2,2.0,2,100.0%,30,15.0,0,2,16,15.0,0.5,7.5,0.0
BBohaTo00,2013,Tommy Bohanon,NYJ,23,rb,16,8,16.0,11,68.8%,69,6.3,0,4,21,4.3,0.7,4.3,0.0
BBoldAn00,2016,Anquan Boldin,DET,36,WR,16,16,95.0,67,70.5%,584,8.7,8,41,35,6.1,4.2,36.5,0.0
BBoldAn00,2015,Anquan Boldin,SFO,35,WR,14,13,111.0,69,62.2%,789,11.4,4,36,51,7.1,4.9,56.4,1.0
BBoldAn00,2014,Anquan Boldin,SFO,34,WR,16,16,130.0,83,63.8%,1062,12.8,5,56,76,8.2,5.2,66.4,0.0
BBoldAn00,2013,Anquan Boldin,SFO,33,WR,16,16,129.0,85,65.9%,1179,13.9,7,63,63,9.1,5.3,73.7,0.0
BBoldAn00,2012,Anquan Boldin,BAL,32,WR,15,15,112.0,65,58.0%,921,14.2,4,45,43,8.2,4.3,61.4,0.0
BBoldAn00,2011,Anquan Boldin,BAL,31,WR,14,14,106.0,57,53.8%,887,15.6,3,43,56,8.4,4.1,63.4,1.0
BBoldAn00,2010,Anquan Boldin,BAL,30,WR,16,16,109.0,64,58.7%,837,13.1,7,43,61,7.7,4.0,52.3,1.0
BBoldAn00,2009,Anquan Boldin,ARI,29,WR,15,15,127.0,84,66.1%,1024,12.2,4,49,44,8.1,5.6,68.3,3.0
BBoldAn00,2008,Anquan Boldin,ARI,28,WR,12,11,127.0,89,70.1%,1038,11.7,11,56,79,8.2,7.4,86.5,4.0
BBoldAn00,2007,Anquan Boldin,ARI,27,WR,12,11,99.0,71,71.7%,853,12.0,9,43,44,8.6,5.9,71.1,2.0
BBoldAn00,2006,Anquan Boldin,ARI,26,WR,16,16,152.0,83,54.6%,1203,14.5,4,55,64,7.9,5.2,75.2,1.0
BBoldAn00,2005,Anquan Boldin,ARI,25,WR,14,14,171.0,102,59.6%,1402,13.7,7,69,54,8.2,7.3,100.1,2.0
BBoldAn00,2004,Anquan Boldin,ARI,24,WR,10,9,104.0,56,53.8%,623,11.1,1,34,31,6.0,5.6,62.3,1.0
BBoldAn00,2003,Anquan Boldin,ARI,23,WR,16,16,165.0,101,61.2%,1377,13.6,8,62,71,8.3,6.3,86.1,3.0
BBoldBr00,2019,Brandon Bolden,NWE,29,,15,2,11.0,9,81.8%,111,12.3,1,6,29,10.1,0.6,7.4,0.0
BBoldBr00,2018,Brandon Bolden,MIA,28,,16,0,3.0,3,100.0%,13,4.3,1,1,9,4.3,0.2,0.8,1.0
BBoldBr00,2016,Brandon Bolden,NWE,26,,14,0,4.0,2,50.0%,15,7.5,0,1,13,3.8,0.1,1.1,0.0
BBoldBr00,2015,Brandon Bolden,NWE,25,,15,2,30.0,19,63.3%,180,9.5,2,8,63,6.0,1.3,12.0,0.0
BBoldBr00,2014,Brandon Bolden,NWE,24,,16,2,6.0,2,33.3%,8,4.0,0,0,4,1.3,0.1,0.5,0.0
BBoldBr00,2013,Brandon Bolden,NWE,23,,12,2,29.0,21,72.4%,152,7.2,0,6,18,5.2,1.8,12.7,0.0
BBoldBr00,2012,Brandon Bolden,NWE,22,,10,0,2.0,2,100.0%,11,5.5,0,1,11,5.5,0.2,1.1,0.0
BBoleBr00,2011,Brock Bolen,JAX,26,,13,0,5.0,2,40.0%,6,3.0,0,0,4,1.2,0.2,0.5,0.0
BBoleBr00,2010,Brock Bolen,JAX,25,,4,0,3.0,1,33.3%,15,15.0,0,1,15,5.0,0.3,3.8,0.0
BBonnRe00,2020,Reggie Bonnafon,CAR,24,,2,0,2.0,2,100.0%,18,9.0,1,2,15,9.0,1.0,9.0,0.0
BBonnRe00,2019,Reggie Bonnafon,CAR,23,,16,0,9.0,6,66.7%,57,9.5,0,1,32,6.3,0.4,3.6,0.0
BBookDe00,2020,Devontae Booker,LVR,28,,11,0,14.0,11,78.6%,64,5.8,0,1,17,4.6,1.0,5.8,1.0
BBookDe00,2019,Devontae Booker,DEN,27,,16,0,9.0,6,66.7%,57,9.5,0,1,25,6.3,0.4,3.6,0.0
BBookDe00,2018,Devontae Booker,DEN,26,,16,0,51.0,38,74.5%,275,7.2,0,9,30,5.4,2.4,17.2,1.0
BBookDe00,2017,Devontae Booker,DEN,25,,13,0,38.0,30,78.9%,275,9.2,0,13,29,7.2,2.3,21.2,2.0
BBookDe00,2016,Devontae Booker,DEN,24,rb,16,6,45.0,31,68.9%,265,8.5,1,8,43,5.9,1.9,16.6,4.0
BBookLo00,2011,Lorenzo Booker,MIN,27,,15,0,14.0,8,57.1%,82,10.3,0,3,15,5.9,0.5,5.5,3.0
BBookLo00,2010,Lorenzo Booker,MIN,26,,4,0,6.0,5,83.3%,32,6.4,0,3,7,5.3,1.3,8.0,1.0
BBookLo00,2008,Lorenzo Booker,PHI,24,,10,1,10.0,6,60.0%,11,1.8,0,1,8,1.1,0.6,1.1,0.0
BBookLo00,2007,Lorenzo Booker,MIA,23,,7,1,36.0,28,77.8%,237,8.5,0,12,22,6.6,4.0,33.9,0.0
BBookMa00,2009,Marty Booker,ATL,33,,16,1,31.0,16,51.6%,181,11.3,1,9,27,5.8,1.0,11.3,0.0
BBookMa00,2008,Marty Booker,CHI,32,wr,13,5,49.0,14,28.6%,211,15.1,2,9,51,4.3,1.1,16.2,0.0
BBookMa00,2007,Marty Booker,MIA,31,WR,15,15,105.0,50,47.6%,556,11.1,1,28,26,5.3,3.3,37.1,1.0
BBookMa00,2006,Marty Booker,MIA,30,WR,14,13,90.0,55,61.1%,747,13.6,6,36,52,8.3,3.9,53.4,0.0
BBookMa00,2005,Marty Booker,MIA,29,WR,15,12,86.0,39,45.3%,686,17.6,3,30,60,8.0,2.6,45.7,0.0
BBookMa00,2004,Marty Booker,MIA,28,WR,15,15,105.0,50,47.6%,638,12.8,1,30,45,6.1,3.3,42.5,0.0
BBookMa00,2003,Marty Booker,CHI,27,WR,13,13,105.0,52,49.5%,715,13.8,4,30,61,6.8,4.0,55.0,1.0
BBookMa00,2002,Marty Booker,CHI,26,WR,16,16,168.0,97,57.7%,1189,12.3,6,52,54,7.1,6.1,74.3,0.0
BBookMa00,2001,Marty Booker,CHI,25,WR,16,16,157.0,100,63.7%,1071,10.7,8,58,66,6.8,6.3,66.9,2.0
BBookMa00,2000,Marty Booker,CHI,24,wr,15,7,74.0,47,63.5%,490,10.4,2,28,41,6.6,3.1,32.7,2.0
BBookMa00,1999,Marty Booker,CHI,23,,9,4,33.0,19,57.6%,219,11.5,3,9,57,6.6,2.1,24.3,0.0
BBoonMi00,2020,Mike Boone,MIN,25,,11,0,1.0,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.5,0.0
BBoonMi00,2019,Mike Boone,MIN,24,,16,2,4.0,3,75.0%,17,5.7,0,0,7,4.3,0.2,1.1,0.0
BBoonMi00,2018,Mike Boone,MIN,23,,8,0,3.0,2,66.7%,1,0.5,0,0,1,0.3,0.3,0.1,0.0
BBossKe00,2012,Kevin Boss,KAN,28,,2,2,3.0,3,100.0%,65,21.7,1,3,29,21.7,1.5,32.5,0.0
BBossKe00,2011,Kevin Boss,OAK,27,TE,14,11,40.0,28,70.0%,368,13.1,3,18,35,9.2,2.0,26.3,0.0
BBossKe00,2010,Kevin Boss,NYG,26,TE,15,13,70.0,35,50.0%,531,15.2,5,20,54,7.6,2.3,35.4,1.0
BBossKe00,2009,Kevin Boss,NYG,25,TE,15,15,69.0,42,60.9%,567,13.5,5,26,35,8.2,2.8,37.8,0.0
BBossKe00,2008,Kevin Boss,NYG,24,TE,15,15,55.0,33,60.0%,384,11.6,6,20,28,7.0,2.2,25.6,0.0
BBossKe00,2007,Kevin Boss,NYG,23,,13,2,14.0,9,64.3%,118,13.1,2,9,23,8.4,0.7,9.1,0.0
BBostBr00,2016,Brandon Bostick,NYJ,27,te,16,7,11.0,8,72.7%,63,7.9,0,2,14,5.7,0.5,3.9,0.0
BBostBr00,2014,Brandon Bostick,GNB,25,,13,0,4.0,2,50.0%,3,1.5,1,1,2,0.8,0.2,0.2,0.0
BBostBr00,2013,Brandon Bostick,GNB,24,,11,0,14.0,7,50.0%,120,17.1,1,5,26,8.6,0.6,10.9,0.0
BBostDa00,2005,David Boston,MIA,27,,5,0,10.0,4,40.0%,80,20.0,0,2,54,8.0,0.8,16.0,0.0
BBostDa00,2003,David Boston,SDG,25,WR,14,14,115.0,70,60.9%,880,12.6,7,42,46,7.7,5.0,62.9,2.0
BBostDa00,2002,David Boston,ARI,24,wr,8,8,75.0,32,42.7%,512,16.0,1,28,34,6.8,4.0,64.0,0.0
BBostDa00,2001,David Boston,ARI,23,WR,16,15,175.0,98,56.0%,1598,16.3,8,72,61,9.1,6.1,99.9,1.0
BBostDa00,2000,David Boston,ARI,22,WR,16,16,133.0,71,53.4%,1156,16.3,7,48,70,8.7,4.4,72.3,2.0
BBostDa00,1999,David Boston,ARI,21,wr,16,8,81.0,40,49.4%,473,11.8,2,21,43,5.8,2.5,29.6,2.0
BBostJa00,1999,James Bostic,PHI,27,,9,0,7.0,5,71.4%,8,1.6,0,2,7,1.1,0.6,0.9,2.0
BBourKe00,2020,Kendrick Bourne,SFO,25,,10,4,50.0,32,64.0%,412,12.9,1,23,25,8.2,3.2,41.2,0.0
BBourKe00,2019,Kendrick Bourne,SFO,24,,16,0,44.0,30,68.2%,358,11.9,5,23,30,8.1,1.9,22.4,0.0
BBourKe00,2018,Kendrick Bourne,SFO,23,wr,16,8,66.0,42,63.6%,487,11.6,4,30,33,7.4,2.6,30.4,1.0
BBourKe00,2017,Kendrick Bourne,SFO,22,,11,0,34.0,16,47.1%,257,16.1,0,12,54,7.6,1.5,23.4,0.0
BBowdLy00,2020,Lynn Bowden Jr.,MIA,23,,5,1,2.0,1,50.0%,-1,-1.0,0,0,0,-0.5,0.2,-0.2,0.0
BBoweDw00,2015,Dwayne Bowe,CLE,31,,7,0,13.0,5,38.5%,53,10.6,0,3,16,4.1,0.7,7.6,0.0
BBoweDw00,2014,Dwayne Bowe,KAN,30,WR,15,15,95.0,60,63.2%,754,12.6,0,42,37,7.9,4.0,50.3,2.0
BBoweDw00,2013,Dwayne Bowe,KAN,29,WR,15,15,103.0,57,55.3%,673,11.8,5,39,34,6.5,3.8,44.9,0.0
BBoweDw00,2012,Dwayne Bowe,KAN,28,WR,13,12,114.0,59,51.8%,801,13.6,3,44,47,7.0,4.5,61.6,1.0
BBoweDw00,2011,Dwayne Bowe,KAN,27,WR,16,14,142.0,81,57.0%,1159,14.3,5,56,52,8.2,5.1,72.4,1.0
BBoweDw00,2010,Dwayne Bowe,KAN,26,WR,16,16,133.0,72,54.1%,1162,16.1,15,55,75,8.7,4.5,72.6,1.0
BBoweDw00,2009,Dwayne Bowe,KAN,25,WR,11,9,87.0,47,54.0%,589,12.5,4,30,41,6.8,4.3,53.5,1.0
BBoweDw00,2008,Dwayne Bowe,KAN,24,WR,16,16,157.0,86,54.8%,1022,11.9,7,49,36,6.5,5.4,63.9,0.0
BBoweDw00,2007,Dwayne Bowe,KAN,23,WR,16,15,116.0,70,60.3%,995,14.2,5,52,58,8.6,4.4,62.2,0.0
BBoweRJ00,2003,R.J. Bowers,CLE,29,,1,0,2.0,1,50.0%,2,2.0,1,1,2,1.0,1.0,2.0,0.0
BBoweRJ00,2001,R.J. Bowers,PIT,27,,3,0,1.0,1,100.0%,0,0.0,0,0,0,0.0,0.3,0.0,0.0
BBowiLa00,1998,Larry Bowie,WAS,25,,5,4,10.0,7,70.0%,53,7.6,1,5,17,5.3,1.4,10.6,0.0
BBownFa00,1999,Fabien Bownes,SEA,27,,15,0,6.0,4,66.7%,68,17.0,1,2,49,11.3,0.3,4.5,0.0
BBownFa00,1998,Fabien Bownes,CHI,26,,16,0,9.0,5,55.6%,69,13.8,1,3,44,7.7,0.3,4.3,0.0
BBoycJo00,2013,Josh Boyce,NWE,22,,9,3,19.0,9,47.4%,121,13.4,0,6,30,6.4,1.0,13.4,0.0
BBoydTo00,1998,Tommie Boyd,DET,27,,9,0,11.0,4,36.4%,52,13.0,1,3,19,4.7,0.4,5.8,0.0
BBoydTy00,2020,Tyler Boyd,CIN,26,,11,8,93.0,72,77.4%,725,10.1,3,41,25,7.8,6.5,65.9,1.0
BBoydTy00,2019,Tyler Boyd,CIN,25,WR,16,15,148.0,90,60.8%,1046,11.6,5,51,47,7.1,5.6,65.4,2.0
BBoydTy00,2018,Tyler Boyd,CIN,24,WR,14,14,108.0,76,70.4%,1028,13.5,7,54,49,9.5,5.4,73.4,0.0
BBoydTy00,2017,Tyler Boyd,CIN,23,,10,1,32.0,22,68.8%,225,10.2,2,14,49,7.0,2.2,22.5,0.0
BBoydTy00,2016,Tyler Boyd,CIN,22,,16,2,81.0,54,66.7%,603,11.2,1,33,30,7.4,3.4,37.7,1.0
BBoykJa00,2014,Jarrett Boykin,GNB,25,,13,3,12.0,3,25.0%,23,7.7,0,1,11,1.9,0.2,1.8,0.0
BBoykJa00,2013,Jarrett Boykin,GNB,24,WR,16,8,83.0,49,59.0%,681,13.9,3,34,52,8.2,3.1,42.6,0.0
BBoykJa00,2012,Jarrett Boykin,GNB,23,,10,0,6.0,5,83.3%,27,5.4,0,1,9,4.5,0.5,2.7,0.0
BBoykMi00,2020,Miles Boykin,BAL,24,,10,7,23.0,14,60.9%,153,10.9,1,9,25,6.7,1.4,15.3,0.0
BBoykMi00,2019,Miles Boykin,BAL,23,WR,16,11,22.0,13,59.1%,198,15.2,3,10,50,9.0,0.8,12.4,0.0
BBoylNi00,2020,Nick Boyle,BAL,27,,9,9,17.0,14,82.4%,113,8.1,2,8,21,6.6,1.6,12.6,0.0
BBoylNi00,2019,Nick Boyle,BAL,26,TE,16,15,43.0,31,72.1%,321,10.4,2,13,35,7.5,1.9,20.1,0.0
BBoylNi00,2018,Nick Boyle,BAL,25,TE,16,13,37.0,23,62.2%,213,9.3,0,10,25,5.8,1.4,13.3,0.0
BBoylNi00,2017,Nick Boyle,BAL,24,TE,15,11,37.0,28,75.7%,203,7.3,0,11,16,5.5,1.9,13.5,0.0
BBoylNi00,2016,Nick Boyle,BAL,23,,6,0,6.0,6,100.0%,44,7.3,0,1,20,7.3,1.0,7.3,0.0
BBoylNi00,2015,Nick Boyle,BAL,22,,11,2,23.0,18,78.3%,153,8.5,0,10,25,6.7,1.6,13.9,0.0
BBradAh00,2015,Ahmad Bradshaw,IND,29,,6,0,14.0,10,71.4%,64,6.4,3,5,10,4.6,1.7,10.7,0.0
BBradAh00,2014,Ahmad Bradshaw,IND,28,,10,1,47.0,38,80.9%,300,7.9,6,20,22,6.4,3.8,30.0,3.0
BBradAh00,2013,Ahmad Bradshaw,IND,27,,3,2,8.0,7,87.5%,42,6.0,0,3,14,5.3,2.3,14.0,0.0
BBradAh00,2012,Ahmad Bradshaw,NYG,26,RB,14,12,31.0,23,74.2%,245,10.7,0,7,59,7.9,1.6,17.5,3.0
BBradAh00,2011,Ahmad Bradshaw,NYG,25,RB,12,9,44.0,34,77.3%,267,7.9,2,12,26,6.1,2.8,22.3,1.0
BBradAh00,2010,Ahmad Bradshaw,NYG,24,RB,16,11,58.0,47,81.0%,314,6.7,0,18,18,5.4,2.9,19.6,7.0
BBradAh00,2009,Ahmad Bradshaw,NYG,23,rb,15,1,30.0,21,70.0%,207,9.9,0,6,55,6.9,1.4,13.8,3.0
BBradAh00,2008,Ahmad Bradshaw,NYG,22,,15,0,6.0,5,83.3%,42,8.4,1,2,18,7.0,0.3,2.8,3.0
BBradAh00,2007,Ahmad Bradshaw,NYG,21,,12,0,5.0,2,40.0%,12,6.0,0,1,11,2.4,0.2,1.0,2.0
BBradCo00,2006,Corey Bradford ,DET,31,,9,2,25.0,14,56.0%,164,11.7,0,9,23,6.6,1.6,18.2,1.0
BBradCo00,2005,Corey Bradford ,HOU,30,wr,16,6,66.0,34,51.5%,436,12.8,5,19,50,6.6,2.1,27.3,0.0
BBradCo00,2004,Corey Bradford ,HOU,29,WR,15,10,54.0,27,50.0%,399,14.8,3,20,47,7.4,1.8,26.6,0.0
BBradCo00,2003,Corey Bradford ,HOU,28,wr,16,6,62.0,24,38.7%,460,19.2,4,16,78,7.4,1.5,28.8,0.0
BBradCo00,2002,Corey Bradford ,HOU,27,WR,16,16,106.0,45,42.5%,697,15.5,6,24,81,6.6,2.8,43.6,0.0
BBradCo00,2001,Corey Bradford ,GNB,26,wr,16,6,58.0,31,53.4%,526,17.0,2,24,56,9.1,1.9,32.9,1.0
BBradCo00,1999,Corey Bradford ,GNB,24,,16,2,82.0,37,45.1%,637,17.2,5,25,74,7.8,2.3,39.8,1.0
BBradCo00,1998,Corey Bradford ,GNB,23,,8,0,7.0,3,42.9%,27,9.0,0,2,18,3.9,0.4,3.4,1.0
BBradJo20,2007,Jon Bradley,DET,26,fb,15,6,4.0,2,50.0%,10,5.0,0,0,8,2.5,0.1,0.7,1.0
BBradKy00,2007,Kyle Brady,NWE,35,TE,14,9,16.0,9,56.3%,70,7.8,2,5,20,4.4,0.6,5.0,0.0
BBradKy00,2006,Kyle Brady,JAX,34,TE,16,14,8.0,5,62.5%,37,7.4,0,2,13,4.6,0.3,2.3,0.0
BBradKy00,2005,Kyle Brady,JAX,33,TE,16,14,26.0,18,69.2%,157,8.7,1,6,33,6.0,1.1,9.8,3.0
BBradKy00,2004,Kyle Brady,JAX,32,TE,11,8,23.0,14,60.9%,103,7.4,1,6,21,4.5,1.3,9.4,0.0
BBradKy00,2003,Kyle Brady,JAX,31,TE,16,15,46.0,29,63.0%,281,9.7,1,16,26,6.1,1.8,17.6,3.0
BBradKy00,2002,Kyle Brady,JAX,30,TE,16,16,67.0,43,64.2%,461,10.7,4,26,42,6.9,2.7,28.8,0.0
BBradKy00,2001,Kyle Brady,JAX,29,TE,16,16,63.0,36,57.1%,386,10.7,2,20,20,6.1,2.3,24.1,0.0
BBradKy00,2000,Kyle Brady,JAX,28,TE,16,15,94.0,64,68.1%,729,11.4,3,39,36,7.8,4.0,45.6,0.0
BBradKy00,1999,Kyle Brady,JAX,27,TE,13,12,46.0,32,69.6%,346,10.8,1,15,30,7.5,2.5,26.6,0.0
BBradKy00,1998,Kyle Brady,NYJ,26,TE,16,15,50.0,30,60.0%,315,10.5,5,15,35,6.3,1.9,19.7,1.0
BBradMa00,2009,Mark Bradley,KAN,27,wr,13,6,57.0,24,42.1%,320,13.3,2,11,50,5.6,1.8,24.6,0.0
BBradMa00,2008,Mark Bradley,2TM,26,,12,8,63.0,30,47.6%,380,12.7,3,0,56,6.0,2.5,31.7,0.0
BBradMa00,2007,Mark Bradley,CHI,25,,15,0,17.0,6,35.3%,71,11.8,1,3,19,4.2,0.4,4.7,0.0
BBradMa00,2006,Mark Bradley,CHI,24,,10,0,23.0,14,60.9%,282,20.1,3,11,75,12.3,1.4,28.2,0.0
BBradMa00,2005,Mark Bradley,CHI,23,,7,4,36.0,18,50.0%,230,12.8,0,9,54,6.4,2.6,32.9,1.0
BBradTo00,2001,Tom Brady ,NWE,24,QB,15,14,1.0,1,100.0%,23,23.0,0,1,23,23.0,0.1,1.5,12.0
BBranDe00,2012,Deion Branch,NWE,33,,10,4,29.0,16,55.2%,145,9.1,0,10,25,5.0,1.6,14.5,0.0
BBranDe00,2011,Deion Branch,NWE,32,WR,15,15,90.0,51,56.7%,702,13.8,5,37,63,7.8,3.4,46.8,0.0
BBranDe00,2010,Deion Branch,2TM,31,,15,12,92.0,61,66.3%,818,13.4,6,0,79,8.9,4.1,54.5,1.0
BBranDe00,2009,Deion Branch,SEA,30,wr,14,5,79.0,45,57.0%,437,9.7,2,18,35,5.5,3.2,31.2,0.0
BBranDe00,2008,Deion Branch,SEA,29,WR,8,8,59.0,30,50.8%,412,13.7,4,17,63,7.0,3.8,51.5,0.0
BBranDe00,2007,Deion Branch,SEA,28,WR,11,11,85.0,49,57.6%,661,13.5,4,30,65,7.8,4.5,60.1,0.0
BBranDe00,2006,Deion Branch,SEA,27,WR,14,13,101.0,53,52.5%,725,13.7,4,40,38,7.2,3.8,51.8,0.0
BBranDe00,2005,Deion Branch,NWE,26,WR,16,15,125.0,78,62.4%,998,12.8,5,53,51,8.0,4.9,62.4,0.0
BBranDe00,2004,Deion Branch,NWE,25,WR,9,9,51.0,35,68.6%,454,13.0,4,27,26,8.9,3.9,50.4,1.0
BBranDe00,2003,Deion Branch,NWE,24,WR,15,12,104.0,57,54.8%,803,14.1,3,40,66,7.7,3.8,53.5,0.0
BBranDe00,2002,Deion Branch,NWE,23,wr,13,7,68.0,43,63.2%,489,11.4,2,23,49,7.2,3.3,37.6,1.0
BBranJa00,2006,Jamaal Branch,NOR,25,,1,0,6.0,5,83.3%,14,2.8,1,1,7,2.3,5.0,14.0,0.0
BBratCa00,2020,Cameron Brate,TAM,29,,12,1,25.0,20,80.0%,181,9.1,2,12,25,7.2,1.7,15.1,0.0
BBratCa00,2019,Cameron Brate,TAM,28,TE,16,6,55.0,36,65.5%,311,8.6,4,21,37,5.7,2.3,19.4,0.0
BBratCa00,2018,Cameron Brate,TAM,27,,16,2,49.0,30,61.2%,289,9.6,6,18,21,5.9,1.9,18.1,1.0
BBratCa00,2017,Cameron Brate,TAM,26,TE,16,5,77.0,48,62.3%,591,12.3,6,34,35,7.7,3.0,36.9,1.0
BBratCa00,2016,Cameron Brate,TAM,25,TE,15,10,81.0,57,70.4%,660,11.6,8,40,38,8.1,3.8,44.0,1.0
BBratCa00,2015,Cameron Brate,TAM,24,,14,4,30.0,23,76.7%,288,12.5,3,14,46,9.6,1.6,20.6,0.0
BBratCa00,2014,Cameron Brate,TAM,23,,5,1,1.0,1,100.0%,17,17.0,0,1,17,17.0,0.2,3.4,0.0
BBrauBe00,2019,Ben Braunecker ,CHI,25,,11,3,11.0,6,54.5%,59,9.8,1,5,18,5.4,0.5,5.4,0.0
BBrauBe00,2018,Ben Braunecker ,CHI,24,,15,2,5.0,3,60.0%,42,14.0,0,2,20,8.4,0.2,2.8,0.0
BBrauBe00,2016,Ben Braunecker ,CHI,22,,13,2,6.0,4,66.7%,41,10.3,0,2,14,6.8,0.3,3.2,0.0
BBrayQu00,2017,Quan Bray,IND,24,,9,0,4.0,3,75.0%,39,13.0,0,2,22,9.8,0.3,4.3,1.0
BBrayQu00,2016,Quan Bray,IND,23,,6,0,4.0,3,75.0%,36,12.0,0,1,22,9.0,0.5,6.0,0.0
BBrazCh00,2000,Chris Brazzell,DAL,24,,9,0,4.0,2,50.0%,12,6.0,0,0,10,3.0,0.2,1.3,0.0
BBrazCh00,1999,Chris Brazzell,DAL,23,,5,0,11.0,5,45.5%,114,22.8,0,4,53,10.4,1.0,22.8,0.0
BBrazLa00,2013,LaVon Brazill,IND,24,,10,0,27.0,12,44.4%,161,13.4,2,7,29,6.0,1.2,16.1,1.0
BBrazLa00,2012,LaVon Brazill,IND,23,,15,0,24.0,11,45.8%,186,16.9,1,7,42,7.8,0.7,12.4,1.0
BBreaSt00,2012,Steve Breaston,KAN,29,,10,4,15.0,7,46.7%,74,10.6,0,5,24,4.9,0.7,7.4,1.0
BBreaSt00,2011,Steve Breaston,KAN,28,WR,16,13,98.0,61,62.2%,785,12.9,2,39,43,8.0,3.8,49.1,0.0
BBreaSt00,2010,Steve Breaston,ARI,27,WR,13,11,87.0,47,54.0%,718,15.3,1,32,37,8.3,3.6,55.2,0.0
BBreaSt00,2009,Steve Breaston,ARI,26,wr,15,6,82.0,55,67.1%,712,12.9,3,33,45,8.7,3.7,47.5,2.0
BBreaSt00,2008,Steve Breaston,ARI,25,WR,16,9,113.0,77,68.1%,1006,13.1,3,44,58,8.9,4.8,62.9,1.0
BBreaSt00,2007,Steve Breaston,ARI,24,,16,0,14.0,8,57.1%,92,11.5,0,3,22,6.6,0.5,5.8,0.0
BBreeDr00,2014,Drew Brees,NOR,35,QB,16,16,1.0,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,7.0
BBreeDr00,2010,Drew Brees,NOR,31,QB,16,16,1.0,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.4,9.0
BBreeDr00,2009,Drew Brees,NOR,30,QB,15,15,1.0,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,10.0
BBreeDr00,2007,Drew Brees,NOR,28,QB,16,16,2.0,2,100.0%,10,5.0,0,0,8,5.0,0.1,0.6,9.0
BBreeDr00,2004,Drew Brees,SDG,25,QB,15,15,1.0,1,100.0%,38,38.0,0,1,38,38.0,0.1,2.5,7.0
BBreeDr00,2003,Drew Brees,SDG,24,QB,11,11,1.0,1,100.0%,21,21.0,1,1,21,21.0,0.1,1.9,5.0
BBreiMa00,2020,Matt Breida,MIA,25,,9,1,10.0,9,90.0%,96,10.7,0,5,31,9.6,1.0,10.7,2.0
BBreiMa00,2019,Matt Breida,SFO,24,rb,13,5,22.0,19,86.4%,120,6.3,1,6,17,5.5,1.5,9.2,2.0
BBreiMa00,2018,Matt Breida,SFO,23,RB,14,13,31.0,27,87.1%,261,9.7,2,12,26,8.4,1.9,18.6,1.0
BBreiMa00,2017,Matt Breida,SFO,22,,16,0,36.0,21,58.3%,180,8.6,1,9,32,5.0,1.3,11.3,1.0
BBrigJe00,2001,Jeremy Brigham,OAK,26,,14,3,17.0,12,70.6%,85,7.1,1,7,17,5.0,0.9,6.1,0.0
BBrigJe00,2000,Jeremy Brigham,OAK,25,,15,3,19.0,13,68.4%,107,8.2,2,8,19,5.6,0.9,7.1,0.0
BBrigJe00,1999,Jeremy Brigham,OAK,24,,16,2,16.0,8,50.0%,108,13.5,0,4,29,6.8,0.5,6.8,0.0
BBrinCu00,2012,Curtis Brinkley,SDG,27,,10,1,15.0,12,80.0%,77,6.4,0,3,12,5.1,1.2,7.7,1.0
