Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2019,BUF,15,4.33,17,4.26,24,58%,17,0.78,10,1.27,28,22.40%,23,7.80%,40
2019,CAR,17,4.3,3,4.84,32,43%,1,1.26,15,1.2,10,17.80%,29,8.60%,58
2019,CHI,29,3.86,30,3.56,31,50%,30,0.39,31,0.89,16,18.50%,21,7.30%,45
2019,CIN,26,3.9,23,3.95,13,67%,19,0.7,23,1.1,29,22.40%,20,7.30%,48
2019,CLE,10,4.46,2,4.85,29,53%,2,1.17,5,1.34,14,18.40%,18,7.20%,41
2019,DAL,2,4.91,6,4.69,2,76%,18,0.72,1,1.42,1,12.70%,2,4.30%,23
2019,DEN,11,4.45,19,4.24,8,69%,23,0.61,17,1.18,3,15.30%,25,8.10%,41
2019,DET,20,4.21,24,3.94,19,64%,25,0.54,22,1.12,12,18.40%,19,7.20%,43
2019,GNB,5,4.63,13,4.47,27,54%,20,0.69,9,1.28,6,17.10%,10,6.40%,36
2019,HOU,21,4.13,12,4.52,1,81%,12,0.93,12,1.26,11,17.80%,27,8.40%,49
2019,IND,12,4.41,10,4.58,7,69%,10,0.97,4,1.35,22,20.20%,7,6.00%,32
2019,JAX,27,3.88,20,4.17,20,63%,4,1.09,27,1.02,23,20.40%,16,7.00%,41
2019,KAN,28,3.88,21,4.15,21,63%,7,1.02,29,0.92,18,18.90%,4,4.90%,25
2019,LAC,13,4.37,22,4.13,12,68%,21,0.68,19,1.16,21,19.70%,9,6.20%,34
2019,LAR,19,4.27,26,3.8,18,65%,29,0.44,14,1.23,26,21.30%,1,3.70%,22
2019,MIA,32,3.18,32,2.96,6,70%,31,0.25,32,0.86,32,26.30%,28,8.60%,58
2019,MIN,7,4.6,7,4.67,11,68%,6,1.04,13,1.25,5,16.10%,14,6.70%,28
2019,NWE,9,4.49,25,3.9,17,65%,28,0.49,16,1.19,24,20.80%,5,5.30%,28
2019,NOR,1,4.92,11,4.57,13,67%,15,0.8,11,1.27,4,15.60%,3,4.70%,25
2019,NYG,25,3.96,18,4.25,26,58%,8,0.99,24,1.1,19,19.60%,17,7.10%,43
2019,NYJ,31,3.81,31,3.29,8,69%,32,0.17,30,0.91,25,20.90%,30,9.20%,52
2019,OAK,6,4.63,16,4.26,24,58%,22,0.67,21,1.14,7,17.30%,6,5.90%,29
2019,PHI,14,4.34,14,4.36,3,76%,16,0.78,18,1.17,13,18.40%,11,6.40%,37
2019,PIT,30,3.84,27,3.74,27,54%,26,0.52,26,1.05,31,23.30%,12,6.60%,32
2019,SEA,16,4.33,9,4.61,10,68%,13,0.93,6,1.33,9,17.70%,24,7.90%,48
2019,SFO,8,4.53,5,4.8,13,67%,3,1.16,7,1.32,20,19.70%,15,6.90%,36
2019,TAM,23,4,29,3.59,30,53%,24,0.55,28,0.94,30,22.90%,22,7.60%,47
2019,TEN,4,4.65,4,4.83,5,73%,5,1.05,3,1.36,15,18.50%,32,11.20%,56
2019,WAS,18,4.28,15,4.36,22,61%,14,0.89,20,1.14,17,18.70%,31,9.80%,50
2018,ARI,25,4,29,3.58,10,69%,31,0.36,30,0.98,6,16.50%,26,9.20%,52
2018,ATL,24,4.08,14,4.59,27,60%,2,1.31,13,1.29,31,25.30%,14,6.60%,42
2018,BAL,9,4.59,16,4.53,1,78%,24,0.67,7,1.33,3,14.60%,8,6.10%,32
2018,BUF,30,3.89,31,3.53,14,68%,30,0.43,32,0.92,23,20.90%,23,8.00%,41
2018,CAR,11,4.55,10,4.62,18,67%,12,0.97,17,1.27,7,17.00%,10,6.10%,32
2018,CHI,28,3.92,28,3.83,18,67%,26,0.63,31,0.96,22,20.50%,7,6.00%,33
2018,CIN,22,4.1,12,4.61,7,71%,3,1.19,11,1.3,20,20.10%,19,7.00%,37
2018,CLE,18,4.24,11,4.61,32,50%,4,1.16,16,1.27,29,23.10%,16,6.70%,38
2018,DAL,8,4.61,17,4.47,3,75%,14,0.87,9,1.31,11,17.90%,28,9.70%,56
2018,DEN,6,4.75,3,4.88,7,71%,10,1.01,5,1.42,14,18.40%,11,6.30%,34
2018,DET,20,4.14,25,4.1,14,68%,23,0.74,22,1.18,27,21.80%,12,6.30%,41
2018,GNB,7,4.71,6,4.7,21,65%,20,0.8,2,1.49,12,18.10%,21,7.90%,53
2018,HOU,27,3.93,27,4.01,23,63%,17,0.83,26,1.09,21,20.40%,32,11.60%,62
2018,IND,4,4.83,15,4.55,28,59%,22,0.74,6,1.34,9,17.80%,2,4.10%,18
2018,JAX,21,4.12,32,3.47,12,69%,32,0.29,29,0.98,19,19.50%,27,9.30%,53
2018,KAN,16,4.37,8,4.66,4,72%,11,1.01,18,1.27,13,18.10%,5,5.40%,26
2018,LAC,5,4.8,2,4.91,18,67%,7,1.05,4,1.46,16,18.40%,13,6.40%,34
2018,LAR,1,5.49,1,5,13,68%,16,0.84,1,1.58,2,14.60%,6,5.40%,33
2018,MIA,14,4.47,5,4.79,24,62%,8,1.02,12,1.29,15,18.40%,31,10.50%,52
2018,MIN,23,4.09,19,4.29,30,58%,9,1.02,23,1.16,25,21.50%,9,6.10%,40
2018,NWE,3,5.03,22,4.24,29,58%,25,0.64,21,1.19,4,15.90%,1,3.80%,21
2018,NOR,2,5.19,13,4.6,9,70%,21,0.77,14,1.28,1,14.50%,3,4.40%,20
2018,NYG,29,3.9,7,4.69,10,69%,1,1.6,25,1.1,24,20.90%,20,7.40%,47
2018,NYJ,32,3.59,26,4.05,26,61%,6,1.06,28,1.05,32,26.10%,18,6.70%,37
2018,OAK,13,4.49,21,4.24,31,53%,28,0.6,8,1.31,10,17.90%,25,8.70%,52
2018,PHI,19,4.14,24,4.12,25,62%,27,0.61,15,1.28,26,21.50%,17,6.70%,40
2018,PIT,15,4.44,18,4.36,5,71%,19,0.8,20,1.2,5,15.90%,4,4.40%,24
2018,SEA,12,4.5,9,4.64,5,71%,15,0.85,10,1.3,8,17.30%,30,10.40%,51
2018,SFO,10,4.56,4,4.84,16,68%,5,1.13,3,1.47,18,19.40%,22,8.00%,48
2018,TAM,31,3.78,30,3.55,22,64%,29,0.49,27,1.06,30,24.70%,15,6.60%,41
2018,TEN,17,4.33,20,4.25,17,67%,18,0.83,24,1.15,17,18.90%,29,10.20%,47
2018,WAS,26,3.96,23,4.16,2,76%,13,0.93,19,1.24,28,22.80%,24,8.50%,44
2017,ARI,17,4.02,30,3.38,9,68%,32,0.3,32,0.9,13,19.60%,26,8.10%,52
2017,ATL,8,4.35,7,4.25,17,64%,10,0.85,6,1.25,20,21.10%,8,4.80%,24
2017,BAL,6,4.36,8,4.22,7,69%,17,0.7,5,1.27,14,19.80%,4,4.30%,27
2017,BUF,27,3.67,22,3.96,22,61%,8,0.9,15,1.17,27,25.80%,31,9.30%,47
2017,CAR,25,3.78,28,3.62,5,72%,22,0.53,30,0.94,12,19.40%,19,7.10%,35
2017,CHI,28,3.65,15,4.08,26,58%,6,0.97,11,1.2,28,25.80%,23,7.70%,39
