,age,attempts,fumbles,g,gs,longgain,playerid,playername,pos,tds,team,yards,yardsperatt,yardspergame,year
967,22.0,83.0,0.0,14.0,2.0,17.0,CCoffGl00,Glen Coffee,,1.0,SFO,226.0,2.7,16.1,2009.0
972,25.0,8.0,0.0,14.0,3.0,19.0,CColeDe00,Derrick Coleman,,0.0,SEA,32.0,4.0,2.3,2015.0
973,23.0,4.0,0.0,4.0,0.0,8.0,CColeKa00,KaRon Coleman,,0.0,DEN,17.0,4.3,4.3,2001.0
1035,28.0,8.0,0.0,16.0,0.0,9.0,CCookJa00,Jameel Cook,,0.0,HOU,24.0,3.0,1.5,2007.0
1037,27.0,12.0,0.0,5.0,0.0,18.0,CCoopRa00,Rafael Cooper,,0.0,DET,57.0,4.8,11.4,2002.0
1056,25.0,22.0,0.0,14.0,1.0,9.0,CCoxxMi00,Michael Cox,,0.0,NYG,43.0,2.0,3.1,2013.0
1069,23.0,9.0,0.0,2.0,0.0,12.0,CCrocJo00,John Crockett,,0.0,GNB,21.0,2.3,10.5,2015.0
1080,24.0,13.0,0.0,13.0,1.0,12.0,CCrooCo00,Corey Croom,,0.0,NWE,54.0,4.2,4.2,1995.0
1081,23.0,29.0,2.0,6.0,1.0,20.0,CCrooLa00,Larry Croom,,0.0,ARI,76.0,2.6,12.7,2004.0
1090,25.0,5.0,0.0,5.0,3.0,7.0,CCruzRo00,Ronnie Cruz,,0.0,KAN,19.0,3.8,3.8,2006.0
1091,26.0,18.0,1.0,16.0,0.0,15.0,CCullDe00,Derrick Cullors,,0.0,NWE,48.0,2.7,3.0,1998.0
1103,26.0,47.0,0.0,8.0,2.0,17.0,CCulvRo00,Rodney Culver,,3.0,SDG,155.0,3.3,19.4,1995.0
1104,28.0,11.0,0.0,15.0,0.0,6.0,CCunnBe01,Benny Cunningham,,0.0,CHI,20.0,1.8,1.3,2018.0
1116,28.0,4.0,1.0,16.0,1.0,7.0,CCurtKe00,Kevin Curtis,,0.0,STL,4.0,1.0,0.3,2006.0
1129,22.0,2.0,0.0,4.0,0.0,6.0,DDallDe00,DeeJay Dallas,,0.0,SEA,8.0,4.0,2.0,2020.0
1140,27.0,6.0,0.0,8.0,0.0,6.0,DDaniB.00,B.J. Daniels,,0.0,2TM,6.0,1.0,0.8,2015.0
1144,24.0,8.0,0.0,9.0,0.0,12.0,DDantWo00,Woodrow Dantzler,,1.0,ATL,21.0,2.6,2.3,2003.0
1145,28.0,34.0,0.0,14.0,0.0,13.0,DDarbKe00,Kenneth Darby,,2.0,STL,107.0,3.1,7.6,2010.0
1155,29.0,10.0,0.0,6.0,0.0,8.0,DDaveNa00,Najeh Davenport ,,0.0,2TM,31.0,3.1,5.2,2008.0
1172,24.0,19.0,0.0,7.0,0.0,14.0,DDaviJa03,James Davis,,0.0,2TM,60.0,3.2,8.6,2010.0
1174,25.0,18.0,0.0,11.0,0.0,6.0,DDaviKn00,Knile Davis ,,0.0,2TM,28.0,1.6,2.5,2016.0
1205,25.0,11.0,0.0,2.0,0.0,14.0,DDawkDa01,Dalyn Dawkins,,0.0,TEN,26.0,2.4,13.0,2019.0
1206,24.0,30.0,0.0,13.0,0.0,12.0,DDawsCl00,Clifton Dawson,,1.0,2TM,64.0,2.1,4.9,2007.0
1207,23.0,5.0,0.0,16.0,0.0,4.0,DDayeMa00,Matthew Dayes,,0.0,CLE,13.0,2.6,0.8,2017.0
1215,44.0,8.0,2.0,8.0,1.0,2.0,DDebeSt00,Steve DeBerg,,0.0,ATL,-10.0,-1.3,-1.3,1998.0
1226,24.0,31.0,1.0,11.0,0.0,12.0,DDensAu00,Autry Denson,,0.0,MIA,108.0,3.5,9.8,2000.0
1252,22.0,18.0,0.0,6.0,0.0,20.0,DDillAJ00,AJ Dillon,,0.0,GNB,76.0,4.2,12.7,2020.0
1263,28.0,21.0,0.0,16.0,1.0,6.0,DDixoAn00,Anthony Dixon,,1.0,BUF,44.0,2.1,2.8,2015.0
1269,25.0,5.0,2.0,2.0,2.0,21.0,DDixoDe00,Dennis Dixon,,0.0,PIT,32.0,6.4,16.0,2010.0
1270,24.0,60.0,2.0,6.0,0.0,37.0,DDixoKe00,Kenneth Dixon,,2.0,BAL,333.0,5.6,55.5,2018.0
1272,22.0,25.0,0.0,6.0,0.0,44.0,DDobbJK00,J.K. Dobbins ,,2.0,BAL,154.0,6.2,25.7,2020.0
1273,24.0,5.0,0.0,4.0,0.0,7.0,DDorsDe00,De Dorsey,,0.0,CIN,8.0,1.6,2.0,2008.0
1277,24.0,12.0,1.0,16.0,0.0,33.0,DDougHa00,Harry Douglas,,1.0,ATL,69.0,5.8,4.3,2008.0
1278,22.0,3.0,0.0,6.0,0.0,7.0,DDowdRi01,Rico Dowdle,,0.0,DAL,13.0,4.3,2.2,2020.0
1279,24.0,29.0,1.0,6.0,1.0,27.0,DDownGa00,Gary Downs,,0.0,NYG,94.0,3.2,15.7,1996.0
1285,29.0,74.0,1.0,16.0,1.0,18.0,DDrauSh00,Shaun Draughn,,4.0,SFO,196.0,2.6,12.3,2016.0
1312,25.0,10.0,0.0,4.0,1.0,2.0,DDrucJi00,Jim Druckenmiller,,0.0,SFO,-6.0,-0.6,-1.5,1997.0
1313,22.0,4.0,2.0,9.0,0.0,23.0,DDrumEd00,Eddie Drummond,,0.0,DET,38.0,9.5,4.2,2002.0
1321,27.0,4.0,0.0,9.0,2.0,2.0,DDugaJe00,Jeff Dugan,,0.0,MIN,7.0,1.8,0.8,2008.0
1322,27.0,11.0,0.0,4.0,0.0,12.0,DDunbLa00,Lance Dunbar,,1.0,LAR,51.0,4.6,12.8,2017.0
1328,27.0,110.0,0.0,15.0,6.0,26.0,DDunbVa00,Vaughn Dunbar,,2.0,2TM,361.0,3.3,24.1,1995.0
1351,22.0,5.0,0.0,11.0,2.0,7.0,EEachNa00,Nate Eachus,,0.0,KAN,18.0,3.6,1.6,2012.0
1352,27.0,20.0,1.0,9.0,0.0,20.0,EEcheAd00,Adimchinobe Echemandu,,0.0,2TM,85.0,4.3,9.4,2007.0
1354,27.0,24.0,0.0,5.0,0.0,14.0,EEckeKy00,Kyle Eckel,,0.0,PHI,79.0,3.3,15.8,2008.0
1362,31.0,5.0,1.0,16.0,0.0,9.0,EEdmoBo00,Bobby Joe Edmonds,,0.0,TAM,28.0,5.6,1.8,1995.0
1366,25.0,22.0,0.0,11.0,0.0,45.0,EEdmuTr00,Trey Edmunds,,0.0,PIT,92.0,4.2,8.4,2019.0
1380,24.0,5.0,1.0,16.0,0.0,12.0,EEdwaTr00,Troy Edwards,,1.0,PIT,28.0,5.6,1.8,2001.0
1389,27.0,13.0,0.0,14.0,0.0,8.0,EEliaKe00,Keith Elias,,0.0,IND,28.0,2.2,2.0,1999.0
1398,23.0,6.0,1.0,13.0,0.0,15.0,EElliBr00,Bruce Ellington,,1.0,SFO,28.0,4.7,2.2,2014.0
1404,27.0,9.0,0.0,16.0,0.0,10.0,EElliJe00,Jerry Ellison,,0.0,TAM,24.0,2.7,1.5,1998.0
1417,28.0,4.0,2.0,2.0,0.0,4.0,EEricCr00,Craig Erickson,,0.0,MIA,8.0,2.0,4.0,1997.0
1420,27.0,23.0,0.0,14.0,0.0,13.0,EErviRi00,Ricky Ervins,,0.0,SFO,88.0,3.8,6.3,1995.0
1421,27.0,4.0,0.0,4.0,0.0,21.0,EErviTy00,Tyler Ervin ,,0.0,GNB,43.0,10.8,10.8,2020.0
1430,22.0,5.0,0.0,2.0,0.0,9.0,EEvanDa02,Darrynton Evans ,,0.0,TEN,21.0,4.2,10.5,2020.0
1451,23.0,60.0,2.0,13.0,2.0,11.0,FFarrKe02,Kenneth Farrow,,0.0,SDG,192.0,3.2,14.8,2016.0
1452,24.0,18.0,2.0,4.0,1.0,19.0,FFasaRa00,Randy Fasani,,0.0,CAR,95.0,5.3,23.8,2002.0
1453,24.0,18.0,0.0,5.0,0.0,15.0,FFasoCi00,Ciatrick Fason,,1.0,MIN,99.0,5.5,19.8,2006.0
1503,26.0,13.0,1.0,16.0,1.0,17.0,FFendJa00,James Fenderson ,,1.0,NOR,65.0,5.0,4.1,2002.0
1507,23.0,15.0,1.0,16.0,0.0,11.0,FFergJo02,Josh Ferguson,,0.0,IND,20.0,1.3,1.3,2016.0
1516,25.0,10.0,4.0,3.0,3.0,24.0,FFinlRy00,Ryan Finley,,0.0,CIN,77.0,7.7,25.7,2019.0
1517,26.0,5.0,2.0,12.0,2.0,5.0,FFinnJi00,Jim Finn,,0.0,IND,8.0,1.6,0.7,2002.0
1518,27.0,6.0,0.0,8.0,0.0,4.0,FFishTo00,Tony Fisher,,0.0,STL,9.0,1.5,1.1,2006.0
1552,24.0,7.0,0.0,16.0,0.0,13.0,FFlemTr00,Troy Fleming,,0.0,TEN,40.0,5.7,2.5,2004.0
1561,24.0,6.0,0.0,13.0,0.0,6.0,FFloyCh00,Chris Floyd ,,0.0,NWE,12.0,2.0,0.9,1999.0
1576,29.0,10.0,1.0,7.0,0.0,-1.0,FFlynMa00,Matt Flynn,,0.0,GNB,-10.0,-1.0,-1.4,2014.0
1583,28.0,5.0,1.0,5.0,3.0,-1.0,FFoleGl00,Glenn Foley,,0.0,NYJ,-11.0,-2.2,-2.2,1998.0
1594,24.0,21.0,0.0,2.0,1.0,11.0,FFordKe00,Keith Ford,,0.0,BUF,79.0,3.8,39.5,2018.0
1595,22.0,7.0,1.0,1.0,0.0,2.0,FForeDO00,D'Onta Foreman,,0.0,HOU,-1.0,-0.1,-1.0,2018.0
1597,24.0,19.0,1.0,7.0,0.0,15.0,FForsBr00,Brock Forsey,,0.0,MIA,53.0,2.8,7.6,2004.0
1625,24.0,6.0,0.0,7.0,0.0,5.0,FFostD.01,D.J. Foster ,,0.0,ARI,19.0,3.2,2.7,2017.0
1637,25.0,7.0,0.0,16.0,0.0,3.0,FFowlJa00,Jalston Fowler,,1.0,TEN,13.0,1.9,0.8,2015.0
1638,24.0,19.0,2.0,11.0,0.0,51.0,FFranJo01,Johnathan Franklin,,1.0,GNB,107.0,5.6,9.7,2013.0
1677,27.0,8.0,3.0,7.0,1.0,11.0,FFurrWi00,Will Furrer,,0.0,HOU,20.0,2.5,2.9,1995.0
1711,26.0,9.0,0.0,11.0,1.0,11.0,GGantQu00,Quinton Ganther,,0.0,2TM,18.0,2.0,1.6,2010.0
1724,31.0,7.0,0.0,5.0,2.0,5.0,GGardCa00,Carwell Gardner,,0.0,SDG,20.0,2.9,4.0,1997.0
1764,25.0,16.0,0.0,9.0,0.0,14.0,GGaskKe00,Kendall Gaskins,,0.0,SFO,38.0,2.4,4.2,2015.0
1767,21.0,51.0,4.0,16.0,0.0,40.0,GGayxBe00,Ben Gay ,,1.0,CLE,172.0,3.4,10.8,2001.0
1791,34.0,6.0,2.0,16.0,1.0,8.0,GGilbGa00,Gale Gilbert,,0.0,SDG,11.0,1.8,0.7,1995.0
1792,28.0,16.0,1.0,4.0,0.0,5.0,GGillMi00,Mike Gillislee ,,0.0,NOR,43.0,2.7,10.8,2018.0
1797,28.0,7.0,1.0,16.0,3.0,22.0,GGilmBr00,Bryan Gilmore,,0.0,SFO,94.0,13.4,5.9,2006.0
1820,26.0,7.0,0.0,2.0,0.0,26.0,GGoodMi00,Mike Goodson,,0.0,NYJ,61.0,8.7,30.5,2013.0
1829,22.0,4.0,0.0,9.0,0.0,6.0,GGordLe00,Lennox Gordon,,0.0,IND,13.0,3.3,1.4,2000.0
1866,26.0,12.0,0.0,11.0,0.0,19.0,GGrahJa00,Jay Graham,,0.0,SEA,43.0,3.6,3.9,2001.0
1875,23.0,4.0,0.0,1.0,0.0,4.0,GGrahRa00,Ray Graham,,0.0,HOU,8.0,2.0,8.0,2013.0
1879,27.0,13.0,0.0,5.0,1.0,8.0,GGranCo00,Corey Grant,,0.0,JAX,40.0,3.1,8.0,2018.0
1883,28.0,2.0,1.0,6.0,0.0,29.0,GGranJa00,Jakeem Grant,,0.0,MIA,17.0,8.5,2.8,2020.0
1890,25.0,8.0,0.0,9.0,0.0,6.0,GGrayCy00,Cyrus Gray,,1.0,KAN,31.0,3.9,3.4,2014.0
1893,25.0,45.0,0.0,8.0,0.0,23.0,GGrayJo00,Jonas Gray,,0.0,2TM,176.0,3.9,22.0,2015.0
1895,28.0,5.0,0.0,16.0,0.0,5.0,GGrayMa00,MarQueis Gray,,0.0,MIA,14.0,2.8,0.9,2017.0
1897,28.0,19.0,2.0,8.0,4.0,15.0,GGrayQu00,Quinn Gray,,0.0,JAX,57.0,3.0,7.1,2007.0
1898,26.0,9.0,4.0,11.0,3.0,10.0,GGrazTo00,Tony Graziani,,0.0,ATL,11.0,1.2,1.0,1999.0
1921,25.0,11.0,0.0,13.0,0.0,9.0,GGreeAl00,Alex Green,,0.0,NYJ,35.0,3.2,2.7,2013.0
1934,23.0,5.0,0.0,12.0,4.0,4.0,GGreeJu00,Justin Green,,0.0,BAL,4.0,0.8,0.3,2005.0
1935,26.0,21.0,0.0,15.0,2.0,12.0,GGreeMi00,Mike Green ,,0.0,TEN,71.0,3.4,4.7,2002.0
1937,27.0,6.0,0.0,3.0,1.0,8.0,GGreeRo00,Robert Green,,0.0,MIN,22.0,3.7,7.3,1997.0
1947,24.0,42.0,0.0,5.0,0.0,33.0,GGreeTi00,Tion Green,,2.0,DET,165.0,3.9,33.0,2017.0
1961,23.0,15.0,0.0,10.0,0.0,8.0,GGricMa00,Marion Grice,,1.0,ARI,41.0,2.7,4.1,2014.0
1972,26.0,33.0,0.0,16.0,0.0,12.0,GGrieMa00,Marrio Grier,,1.0,NWE,75.0,2.3,4.7,1997.0
1974,24.0,7.0,1.0,2.0,2.0,11.0,GGrieWi00,Will Grier,,0.0,CAR,22.0,3.1,11.0,2019.0
1985,23.0,85.0,3.0,6.0,4.0,47.0,GGrifQu00,Quentin Griffin,,2.0,DEN,311.0,3.7,51.8,2004.0
1993,27.0,23.0,0.0,10.0,0.0,14.0,GGrimJo01,Jonathan Grimes,,0.0,HOU,105.0,4.6,10.5,2016.0
2005,22.0,42.0,0.0,5.0,1.0,60.0,GGuicDe00,Derrius Guice,,2.0,WAS,245.0,5.8,49.0,2019.0
2012,23.0,5.0,0.0,5.0,0.0,-1.0,GGutiMa00,Matt Gutierrez,,0.0,NWE,-13.0,-2.6,-2.6,2007.0
