,playerid,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles
1132,SShipMa00,2007,Marcel Shipp,ARI,29,16,0,15,41,1,14,2.7,2.6,0
1133,SShipMa00,2006,Marcel Shipp,ARI,28,15,0,17,41,4,9,2.4,2.7,0
1134,SShipMa00,2005,Marcel Shipp,ARI,27,15,11,157,451,0,19,2.9,30.1,4
1135,SShipMa00,2003,Marcel Shipp,ARI,25,16,11,228,830,0,36,3.6,51.9,3
1136,SSingDe00,2019,Devin Singletary,BUF,22,12,8,151,775,2,38,5.1,64.6,4
1137,SSlatSt00,2011,Steve Slaton,2TM,25,6,0,24,84,1,28,3.5,14.0,0
1138,SSlatSt00,2010,Steve Slaton,HOU,24,12,1,19,93,0,23,4.9,7.8,0
1139,SSlatSt00,2009,Steve Slaton,HOU,23,11,10,131,437,3,32,3.3,39.7,7
1140,SSlatSt00,2008,Steve Slaton,HOU,22,16,15,268,1282,9,71,4.8,80.1,3
1141,SSmalWe00,2019,Wendell Smallwood,WAS,25,15,0,22,81,0,17,3.7,5.4,0
1142,SSmalWe00,2018,Wendell Smallwood,PHI,24,16,6,87,364,3,15,4.2,22.8,2
1143,SSmalWe00,2017,Wendell Smallwood,PHI,23,8,3,47,174,1,26,3.7,21.8,0
1144,SSmalWe00,2016,Wendell Smallwood,PHI,22,13,3,77,312,1,19,4.1,24.0,1
1145,SSmitAn00,2005,Antowain Smith,NOR,33,16,7,166,659,3,42,4.0,41.2,2
1146,SSmitAn00,2004,Antowain Smith,TEN,32,13,4,137,509,4,43,3.7,39.2,2
1147,SSmitAn00,2002,Antowain Smith,NWE,30,16,15,252,982,6,42,3.9,61.4,2
1148,SSmitAn00,2001,Antowain Smith,NWE,29,16,15,287,1157,12,44,4.0,72.3,4
1149,SSmitAn00,2000,Antowain Smith,BUF,28,11,3,101,354,4,59,3.5,32.2,1
1150,SSmitAn00,1998,Antowain Smith,BUF,26,16,14,300,1124,8,30,3.7,70.3,5
1151,SSmitAn00,1997,Antowain Smith,BUF,25,16,0,194,840,8,56,4.3,52.5,4
1152,SSmitEm00,2004,Emmitt Smith ,ARI,35,15,15,267,937,9,29,3.5,62.5,4
1153,SSmitEm00,2002,Emmitt Smith ,DAL,33,16,16,254,975,5,30,3.8,60.9,3
1154,SSmitEm00,2001,Emmitt Smith ,DAL,32,14,14,261,1021,3,44,3.9,72.9,1
1155,SSmitEm00,2000,Emmitt Smith ,DAL,31,16,16,294,1203,9,52,4.1,75.2,6
1156,SSmitEm00,1999,Emmitt Smith ,DAL,30,15,15,329,1397,11,63,4.2,93.1,5
1157,SSmitEm00,1998,Emmitt Smith ,DAL,29,16,16,319,1332,13,32,4.2,83.3,3
1158,SSmitEm00,1997,Emmitt Smith ,DAL,28,16,16,261,1074,4,44,4.1,67.1,1
1159,SSmitEm00,1996,Emmitt Smith ,DAL,27,15,15,327,1204,12,42,3.7,80.3,5
1160,SSmitEm00,1995,Emmitt Smith ,DAL,26,16,16,377,1773,25,60,4.7,110.8,7
1161,SSmitKe02,2012,Kevin Smith,DET,26,12,2,37,134,1,19,3.6,11.2,0
1162,SSmitKe02,2011,Kevin Smith,DET,25,7,4,72,356,4,43,4.9,50.9,1
1163,SSmitKe02,2010,Kevin Smith,DET,24,6,0,34,133,0,15,3.9,22.2,0
1164,SSmitKe02,2009,Kevin Smith,DET,23,13,13,217,747,4,31,3.4,57.5,3
1165,SSmitKe02,2008,Kevin Smith,DET,22,16,12,238,976,8,50,4.1,61.0,2
1166,SSmitLa00,2003,Lamar Smith,NOR,33,4,0,11,61,0,17,5.5,15.3,0
1167,SSmitLa00,2002,Lamar Smith,CAR,32,11,11,209,737,7,59,3.5,67.0,2
1168,SSmitLa00,2001,Lamar Smith,MIA,31,16,16,313,968,6,25,3.1,60.5,6
1169,SSmitLa00,2000,Lamar Smith,MIA,30,15,15,309,1139,14,68,3.7,75.9,3
1170,SSmitLa00,1999,Lamar Smith,NOR,29,13,2,60,205,0,24,3.4,15.8,1
1171,SSmitLa00,1998,Lamar Smith,NOR,28,14,9,138,457,1,33,3.3,32.6,4
1172,SSmitLa00,1997,Lamar Smith,SEA,27,12,2,91,392,2,35,4.3,32.7,0
1173,SSmitLa00,1995,Lamar Smith,SEA,25,12,0,36,215,0,68,6.0,17.9,1
1174,SSmitMa00,2001,Maurice Smith,ATL,25,16,12,237,760,5,58,3.2,47.5,1
1175,SSmitMa00,2000,Maurice Smith,ATL,24,10,0,19,69,0,16,3.6,6.9,0
1176,SSmitRo00,2000,Robert Smith,MIN,28,16,16,295,1521,7,72,5.2,95.1,4
1177,SSmitRo00,1999,Robert Smith,MIN,27,13,12,221,1015,2,70,4.6,78.1,1
1178,SSmitRo00,1998,Robert Smith,MIN,26,14,14,249,1187,6,74,4.8,84.8,1
1179,SSmitRo00,1997,Robert Smith,MIN,25,14,14,232,1266,6,78,5.5,90.4,0
1180,SSmitRo00,1996,Robert Smith,MIN,24,8,7,162,692,3,57,4.3,86.5,2
1181,SSmitRo00,1995,Robert Smith,MIN,23,9,7,139,632,5,58,4.5,70.2,1
1182,SSpilC.00,2016,C.J. Spiller,2TM,29,6,0,6,18,0,13,3.0,3.0,1
1183,SSpilC.00,2015,C.J. Spiller,NOR,28,13,2,36,112,0,11,3.1,8.6,1
1184,SSpilC.00,2013,C.J. Spiller,BUF,26,15,10,202,933,2,77,4.6,62.2,4
1185,SSpilC.00,2012,C.J. Spiller,BUF,25,16,9,207,1244,6,62,6.0,77.8,3
1186,SSpilC.00,2011,C.J. Spiller,BUF,24,16,11,107,561,4,38,5.2,35.1,2
1187,SSpilC.00,2010,C.J. Spiller,BUF,23,14,1,74,283,0,20,3.8,20.2,5
1188,SSproDa00,2018,Darren Sproles ,PHI,35,6,2,29,120,1,17,4.1,20.0,0
1189,SSproDa00,2017,Darren Sproles ,PHI,34,3,0,15,61,0,12,4.1,20.3,1
1190,SSproDa00,2015,Darren Sproles ,PHI,32,16,4,83,317,3,27,3.8,19.8,1
1191,SSproDa00,2014,Darren Sproles ,PHI,31,15,0,57,329,6,49,5.8,21.9,4
1192,SSproDa00,2012,Darren Sproles ,NOR,29,13,6,48,244,1,47,5.1,18.8,0
1193,SSproDa00,2010,Darren Sproles ,SDG,27,16,3,50,267,0,34,5.3,16.7,3
1194,SSproDa00,2009,Darren Sproles ,SDG,26,16,2,93,343,3,21,3.7,21.4,3
1195,SSproDa00,2008,Darren Sproles ,SDG,25,16,0,61,330,1,37,5.4,20.6,3
1196,SSproDa00,2007,Darren Sproles ,SDG,24,15,0,37,164,2,34,4.4,10.9,1
1197,SSproDa00,2005,Darren Sproles ,SDG,22,15,0,8,50,0,21,6.3,3.3,3
1198,SStacZa00,2015,Zac Stacy,NYJ,24,8,0,31,89,1,18,2.9,11.1,0
1199,SStacZa00,2013,Zac Stacy,STL,22,14,12,250,973,7,40,3.9,69.5,1
1200,SStalDu00,2005,Duce Staley,PIT,30,5,1,38,148,1,17,3.9,29.6,1
1201,SStalDu00,2003,Duce Staley,PHI,28,16,4,96,463,5,22,4.8,28.9,2
1202,SStalDu00,2002,Duce Staley,PHI,27,16,16,269,1029,5,57,3.8,64.3,3
1203,SStalDu00,2001,Duce Staley,PHI,26,13,10,166,604,2,44,3.6,46.5,3
1204,SStalDu00,1999,Duce Staley,PHI,24,16,16,325,1273,4,29,3.9,79.6,5
1205,SStalDu00,1998,Duce Staley,PHI,23,16,13,258,1065,5,64,4.1,66.6,2
1206,SStalDu00,1997,Duce Staley,PHI,22,16,0,7,29,0,12,4.1,1.8,0
1207,SStewJa00,2002,James Stewart,DET,31,14,9,231,1021,4,56,4.4,72.9,0
1208,SStewJa00,2001,James Stewart,DET,30,11,10,143,685,1,38,4.8,62.3,0
1209,SStewJa00,2000,James Stewart,DET,29,16,16,339,1184,10,34,3.5,74.0,4
1210,SStewJa00,1999,James Stewart,JAX,28,14,7,249,931,13,44,3.7,66.5,4
1211,SStewJa00,1998,James Stewart,JAX,27,3,3,53,217,2,30,4.1,72.3,2
1212,SStewJa00,1996,James Stewart,JAX,25,13,11,190,723,8,34,3.8,55.6,2
1213,SStewJa00,1995,James Stewart,JAX,24,14,8,137,525,2,22,3.8,37.5,1
1214,SStewJo00,2018,Jonathan Stewart,NYG,31,3,0,6,17,0,5,2.8,5.7,0
1215,SStewJo00,2017,Jonathan Stewart,CAR,30,15,10,198,680,6,60,3.4,45.3,3
1216,SStewJo00,2016,Jonathan Stewart,CAR,29,13,13,218,824,9,47,3.8,63.4,3
1217,SStewJo00,2015,Jonathan Stewart,CAR,28,13,13,242,989,6,44,4.1,76.1,3
1218,SStewJo00,2014,Jonathan Stewart,CAR,27,13,8,175,809,3,69,4.6,62.2,3
1219,SStewJo00,2013,Jonathan Stewart,CAR,26,6,1,48,180,0,16,3.8,30.0,1
1220,SStewJo00,2010,Jonathan Stewart,CAR,23,14,7,178,770,2,48,4.3,55.0,4
1221,SStewJo00,2008,Jonathan Stewart,CAR,21,16,0,184,836,10,41,4.5,52.3,2
1222,SSummFr00,2014,Frank Summers,BUF,29,10,6,6,17,1,4,2.8,1.7,0
1223,TTaylCh01,2011,Chester Taylor,ARI,32,12,1,20,77,1,34,3.9,6.4,0
1224,TTaylCh01,2010,Chester Taylor,CHI,31,16,1,112,267,3,24,2.4,16.7,0
1225,TTaylCh01,2009,Chester Taylor,MIN,30,16,0,94,338,1,25,3.6,21.1,2
1226,TTaylCh01,2008,Chester Taylor,MIN,29,16,1,101,399,4,21,4.0,24.9,2
1227,TTaylCh01,2006,Chester Taylor,MIN,27,15,15,303,1216,6,95,4.0,81.1,5
1228,TTaylCh01,2005,Chester Taylor,BAL,26,15,1,117,487,0,52,4.2,32.5,3
1229,TTaylCh01,2003,Chester Taylor,BAL,24,16,1,63,276,2,32,4.4,17.3,3
1230,TTaylCh01,2002,Chester Taylor,BAL,23,15,2,33,122,0,17,3.7,8.1,1
1231,TTaylFr00,2010,Fred Taylor,NWE,34,7,0,43,155,0,24,3.6,22.1,0
1232,TTaylFr00,2009,Fred Taylor,NWE,33,6,1,63,269,4,19,4.3,44.8,1
1233,TTaylFr00,2008,Fred Taylor,JAX,32,13,13,143,556,1,34,3.9,42.8,1
1234,TTaylFr00,2007,Fred Taylor,JAX,31,15,15,223,1202,5,80,5.4,80.1,2
1235,TTaylFr00,2006,Fred Taylor,JAX,30,15,15,231,1146,5,76,5.0,76.4,3
1236,TTaylFr00,2005,Fred Taylor,JAX,29,11,11,194,787,3,71,4.1,71.5,0
1237,TTaylFr00,2004,Fred Taylor,JAX,28,14,14,260,1224,2,46,4.7,87.4,3
1238,TTaylFr00,2003,Fred Taylor,JAX,27,16,16,345,1572,6,62,4.6,98.3,6
1239,TTaylFr00,2002,Fred Taylor,JAX,26,16,16,287,1314,8,63,4.6,82.1,3
1240,TTaylFr00,2001,Fred Taylor,JAX,25,2,2,30,116,0,24,3.9,58.0,1
1241,TTaylFr00,2000,Fred Taylor,JAX,24,13,13,292,1399,12,71,4.8,107.6,4
1242,TTaylFr00,1998,Fred Taylor,JAX,22,15,12,264,1223,14,77,4.6,81.5,3
1243,TThomAn01,2007,Anthony Thomas,BUF,30,10,2,36,89,0,9,2.5,8.9,0
1244,TThomAn01,2006,Anthony Thomas,BUF,29,16,2,107,378,2,19,3.5,23.6,1
1245,TThomAn01,2005,Anthony Thomas,2TM,28,10,2,43,92,0,12,2.1,9.2,0
1246,TThomAn01,2004,Anthony Thomas,CHI,27,12,2,122,404,2,41,3.3,33.7,1
1247,TThomAn01,2003,Anthony Thomas,CHI,26,13,13,244,1024,6,67,4.2,78.8,1
1248,TThomAn01,2002,Anthony Thomas,CHI,25,12,12,214,721,6,34,3.4,60.1,5
1249,TThomAn01,2001,Anthony Thomas,CHI,24,14,10,278,1183,7,46,4.3,84.5,0
1250,TThomPi00,2015,Pierre Thomas,2TM,31,5,0,15,64,0,11,4.3,12.8,0
1251,TThomPi00,2014,Pierre Thomas,NOR,30,11,3,45,222,2,27,4.9,20.2,0
1252,TThomPi00,2013,Pierre Thomas,NOR,29,16,9,147,549,2,18,3.7,34.3,2
1253,TThomPi00,2012,Pierre Thomas,NOR,28,15,4,105,473,1,48,4.5,31.5,0
1254,TThomPi00,2011,Pierre Thomas,NOR,27,16,7,110,562,5,33,5.1,35.1,2
1255,TThomPi00,2010,Pierre Thomas,NOR,26,6,3,83,269,2,16,3.2,44.8,0
1256,TThomPi00,2007,Pierre Thomas,NOR,23,12,1,52,252,1,24,4.8,21.0,0
1257,TThomRo00,2001,Rodney Thomas,ATL,28,12,0,37,126,0,21,3.4,10.5,0
1258,TThomRo00,2000,Rodney Thomas,TEN,27,16,0,61,175,0,20,2.9,10.9,1
1259,TThomRo00,1999,Rodney Thomas,TEN,26,16,0,43,164,1,22,3.8,10.3,0
1260,TThomRo00,1998,Rodney Thomas,TEN,25,11,0,24,100,2,21,4.2,9.1,0
1261,TThomRo00,1997,Rodney Thomas,TEN,24,16,1,67,310,3,25,4.6,19.4,1
1262,TThomRo00,1996,Rodney Thomas,HOU,23,16,0,49,151,1,24,3.1,9.4,0
1263,TThomRo00,1995,Rodney Thomas,HOU,22,16,10,251,947,5,74,3.8,59.2,8
1264,TThomTh00,2000,Thurman Thomas,MIA,34,9,0,28,136,0,25,4.9,15.1,1
1265,TThomTh00,1999,Thurman Thomas,BUF,33,5,3,36,152,0,31,4.2,30.4,0
1266,TThomTh00,1998,Thurman Thomas,BUF,32,14,3,93,381,2,17,4.1,27.2,0
1267,TThomTh00,1997,Thurman Thomas,BUF,31,16,16,154,643,1,24,4.2,40.2,2
1268,TThomTh00,1996,Thurman Thomas,BUF,30,15,15,281,1033,8,36,3.7,68.9,1
1269,TThomTh00,1995,Thurman Thomas,BUF,29,14,14,267,1005,6,49,3.8,71.8,6
1270,TTolbMi00,2017,Mike Tolbert,BUF,32,12,0,66,247,1,25,3.7,20.6,2
1271,TTolbMi00,2016,Mike Tolbert,CAR,31,16,2,35,114,0,14,3.3,7.1,0
1272,TTolbMi00,2015,Mike Tolbert,CAR,30,16,3,62,256,1,29,4.1,16.0,0
1273,TTolbMi00,2013,Mike Tolbert,CAR,28,16,13,101,361,5,22,3.6,22.6,0
1274,TTolbMi00,2011,Mike Tolbert,SDG,26,15,1,121,490,8,40,4.0,32.7,2
1275,TTolbMi00,2010,Mike Tolbert,SDG,25,15,4,182,735,11,36,4.0,49.0,5
1276,TTolbMi00,2009,Mike Tolbert,SDG,24,16,3,25,148,1,32,5.9,9.3,1
1277,TTomlLa00,2011,LaDainian Tomlinson,NYJ,32,14,1,75,280,1,20,3.7,20.0,0
1278,TTomlLa00,2010,LaDainian Tomlinson,NYJ,31,15,13,219,914,6,31,4.2,60.9,3
1279,TTomlLa00,2009,LaDainian Tomlinson,SDG,30,14,14,223,730,12,36,3.3,52.1,2
1280,TTomlLa00,2008,LaDainian Tomlinson,SDG,29,16,16,292,1110,11,45,3.8,69.4,1
1281,TTomlLa00,2007,LaDainian Tomlinson,SDG,28,16,16,315,1474,15,49,4.7,92.1,0
1282,TTomlLa00,2006,LaDainian Tomlinson,SDG,27,16,16,348,1815,28,85,5.2,113.4,2
1283,TTomlLa00,2005,LaDainian Tomlinson,SDG,26,16,16,339,1462,18,62,4.3,91.4,3
1284,TTomlLa00,2004,LaDainian Tomlinson,SDG,25,15,15,339,1335,17,42,3.9,89.0,6
1285,TTomlLa00,2003,LaDainian Tomlinson,SDG,24,16,16,313,1645,13,73,5.3,102.8,2
1286,TTomlLa00,2002,LaDainian Tomlinson,SDG,23,16,16,372,1683,14,76,4.5,105.2,3
1287,TTomlLa00,2001,LaDainian Tomlinson,SDG,22,16,16,339,1236,10,54,3.6,77.3,8
1288,TToraRy00,2011,Ryan Torain,WAS,25,8,4,59,200,1,39,3.4,25.0,1
1289,TToraRy00,2010,Ryan Torain,WAS,24,10,8,164,742,4,54,4.5,74.2,2
1290,TToraRy00,2008,Ryan Torain,DEN,22,2,1,15,69,1,19,4.6,34.5,0
1291,TTurnMi00,2012,Michael Turner,ATL,30,16,16,222,800,10,43,3.6,50.0,3
1292,TTurnMi00,2011,Michael Turner,ATL,29,16,15,301,1340,11,81,4.5,83.8,3
1293,TTurnMi00,2010,Michael Turner,ATL,28,16,15,334,1371,12,55,4.1,85.7,2
1294,TTurnMi00,2009,Michael Turner,ATL,27,11,11,178,871,10,58,4.9,79.2,4
1295,TTurnMi00,2008,Michael Turner,ATL,26,16,16,376,1699,17,70,4.5,106.2,3
1296,TTurnMi00,2007,Michael Turner,SDG,25,16,0,71,316,1,74,4.5,19.8,1
1297,TTurnMi00,2006,Michael Turner,SDG,24,13,0,80,502,2,73,6.3,38.6,0
1298,TTurnMi00,2005,Michael Turner,SDG,23,16,0,57,335,3,83,5.9,20.9,0
1299,TTurnMi00,2004,Michael Turner,SDG,22,14,1,20,104,0,30,5.2,7.4,1
1300,VVereSh00,2017,Shane Vereen,NYG,28,16,0,45,164,0,17,3.6,10.3,0
1301,VVereSh00,2016,Shane Vereen,NYG,27,5,1,33,158,1,25,4.8,31.6,2
1302,VVereSh00,2015,Shane Vereen,NYG,26,16,0,61,260,0,39,4.3,16.3,1
1303,VVereSh00,2014,Shane Vereen,NWE,25,16,6,96,391,2,19,4.1,24.4,0
1304,VVereSh00,2013,Shane Vereen,NWE,24,8,1,44,208,1,21,4.7,26.0,1
1305,VVereSh00,2012,Shane Vereen,NWE,23,13,1,62,251,3,16,4.0,19.3,1
1306,VVereSh00,2011,Shane Vereen,NWE,22,5,0,15,57,1,19,3.8,11.4,0
1307,WWareSp00,2019,Spencer Ware,KAN,28,3,1,17,51,0,6,3.0,17.0,1
1308,WWareSp00,2018,Spencer Ware,KAN,27,13,2,51,246,2,34,4.8,18.9,0
1309,WWareSp00,2016,Spencer Ware,KAN,25,14,14,214,921,3,46,4.3,65.8,4
1310,WWareSp00,2015,Spencer Ware,KAN,24,11,2,72,403,6,52,5.6,36.6,0
1311,WWarrCh00,2000,Chris Warren,2TM,32,14,1,74,296,2,32,4.0,21.1,3
1312,WWarrCh00,1999,Chris Warren,DAL,31,16,1,99,403,2,25,4.1,25.2,4
1313,WWarrCh00,1998,Chris Warren,DAL,30,9,0,59,291,4,49,4.9,32.3,0
1314,WWarrCh00,1997,Chris Warren,SEA,29,15,13,200,847,4,36,4.2,56.5,2
1315,WWarrCh00,1996,Chris Warren,SEA,28,14,14,203,855,5,51,4.2,61.1,3
1316,WWarrCh00,1995,Chris Warren,SEA,27,16,16,310,1346,15,52,4.3,84.1,5
1317,WWashLe00,2014,Leon Washington,TEN,32,16,0,13,57,0,16,4.4,3.6,3
1318,WWashLe00,2012,Leon Washington,SEA,30,16,0,23,83,1,14,3.6,5.2,2
1319,WWashLe00,2011,Leon Washington,SEA,29,16,1,53,248,1,48,4.7,15.5,2
1320,WWashLe00,2010,Leon Washington,SEA,28,16,0,27,100,1,21,3.7,6.3,3
1321,WWashLe00,2009,Leon Washington,NYJ,27,7,0,72,331,0,33,4.6,47.3,1
1322,WWashLe00,2008,Leon Washington,NYJ,26,16,1,76,448,6,61,5.9,28.0,3
1323,WWashLe00,2007,Leon Washington,NYJ,25,16,4,71,353,3,49,5.0,22.1,4
1324,WWashLe00,2006,Leon Washington,NYJ,24,16,8,151,650,4,23,4.3,40.6,3
1325,WWattRi00,2001,Ricky Watters,SEA,32,5,4,72,318,1,40,4.4,63.6,1
1326,WWattRi00,2000,Ricky Watters,SEA,31,16,16,278,1242,7,55,4.5,77.6,5
1327,WWattRi00,1999,Ricky Watters,SEA,30,16,16,325,1210,5,45,3.7,75.6,4
1328,WWattRi00,1998,Ricky Watters,SEA,29,16,16,319,1239,9,39,3.9,77.4,4
1329,WWattRi00,1997,Ricky Watters,PHI,28,16,16,285,1110,7,28,3.9,69.4,3
1330,WWattRi00,1996,Ricky Watters,PHI,27,16,16,353,1411,13,56,4.0,88.2,5
1331,WWattRi00,1995,Ricky Watters,PHI,26,16,16,337,1273,11,57,3.8,79.6,6
1332,WWellCh00,2012,Beanie Wells ,ARI,24,8,7,88,234,5,31,2.7,29.3,1
1333,WWellCh00,2011,Beanie Wells ,ARI,23,14,14,245,1047,10,71,4.3,74.8,4
1334,WWellCh00,2010,Beanie Wells ,ARI,22,13,2,116,397,2,24,3.4,30.5,1
1335,WWellCh00,2009,Beanie Wells ,ARI,21,16,0,176,793,7,33,4.5,49.6,4
1336,WWellJo00,2004,Jonathan Wells,HOU,25,16,1,82,299,3,14,3.6,18.7,1
1337,WWellJo00,2002,Jonathan Wells,HOU,23,16,11,197,529,3,37,2.7,33.1,3
1338,WWestBr00,2009,Brian Westbrook ,PHI,30,8,7,61,274,1,25,4.5,34.3,0
1339,WWestBr00,2008,Brian Westbrook ,PHI,29,14,14,233,936,9,39,4.0,66.9,2
1340,WWestBr00,2007,Brian Westbrook ,PHI,28,15,15,278,1333,7,36,4.8,88.9,2
1341,WWestBr00,2006,Brian Westbrook ,PHI,27,15,14,240,1217,7,71,5.1,81.1,2
1342,WWestBr00,2005,Brian Westbrook ,PHI,26,12,12,156,617,3,31,4.0,51.4,0
1343,WWestBr00,2004,Brian Westbrook ,PHI,25,13,12,177,812,3,50,4.6,62.5,1
1344,WWestBr00,2003,Brian Westbrook ,PHI,24,15,8,117,613,7,62,5.2,40.9,3
1345,WWestBr00,2002,Brian Westbrook ,PHI,23,15,3,46,193,0,18,4.2,12.9,2
1346,WWestCh01,2017,Charcandrick West ,KAN,26,13,0,18,72,2,21,4.0,5.5,1
1347,WWestCh01,2016,Charcandrick West ,KAN,25,15,2,88,293,1,28,3.3,19.5,0
1348,WWestCh01,2015,Charcandrick West ,KAN,24,15,9,160,634,4,38,4.0,42.3,1
1349,WWestTe00,2017,Terrance West ,BAL,26,5,4,39,138,2,13,3.5,27.6,1
1350,WWestTe00,2016,Terrance West ,BAL,25,16,13,193,774,5,41,4.0,48.4,2
1351,WWestTe00,2015,Terrance West ,2TM,24,8,0,62,231,0,17,3.7,28.9,2
1352,WWestTe00,2014,Terrance West ,CLE,23,14,6,171,673,4,36,3.9,48.1,2
1353,WWheaTy00,2004,Tyrone Wheatley,OAK,32,8,7,85,327,4,60,3.8,40.9,0
1354,WWheaTy00,2002,Tyrone Wheatley,OAK,30,14,0,108,419,2,36,3.9,29.9,1
1355,WWheaTy00,2001,Tyrone Wheatley,OAK,29,11,2,88,276,5,22,3.1,25.1,3
1356,WWheaTy00,2000,Tyrone Wheatley,OAK,28,14,13,232,1046,9,80,4.5,74.7,4
1357,WWheaTy00,1999,Tyrone Wheatley,OAK,27,16,9,242,936,8,30,3.9,58.5,3
1358,WWheaTy00,1998,Tyrone Wheatley,NYG,26,5,0,14,52,0,15,3.7,10.4,0
1359,WWheaTy00,1997,Tyrone Wheatley,NYG,25,14,7,152,583,4,38,3.8,41.6,3
1360,WWheaTy00,1996,Tyrone Wheatley,NYG,24,14,0,112,400,1,37,3.6,28.6,6
1361,WWheaTy00,1995,Tyrone Wheatley,NYG,23,13,1,78,245,3,19,3.1,18.8,2
1362,WWhitLe01,2009,LenDale White,TEN,25,13,0,64,222,2,11,3.5,17.1,1
1363,WWhitLe01,2007,LenDale White,TEN,23,16,16,303,1110,7,28,3.7,69.4,5
1364,WWhitLe01,2006,LenDale White,TEN,22,13,0,61,244,0,26,4.0,18.8,0
1365,WWillCa02,2011,Cadillac Williams,STL,29,11,1,87,361,1,23,4.1,32.8,1
1366,WWillCa02,2010,Cadillac Williams,TAM,28,16,9,125,437,2,45,3.5,27.3,1
1367,WWillCa02,2009,Cadillac Williams,TAM,27,16,15,211,823,4,35,3.9,51.4,1
1368,WWillCa02,2008,Cadillac Williams,TAM,26,6,1,63,233,4,28,3.7,38.8,1
1369,WWillCa02,2007,Cadillac Williams,TAM,25,4,4,54,208,3,20,3.9,52.0,2
1370,WWillCa02,2006,Cadillac Williams,TAM,24,14,14,225,798,1,38,3.5,57.0,3
1371,WWillCa02,2005,Cadillac Williams,TAM,23,14,14,290,1178,6,71,4.1,84.1,3
1372,WWillDe02,2016,DeAngelo Williams,PIT,33,9,4,98,343,4,17,3.5,38.1,0
1373,WWillDe02,2015,DeAngelo Williams,PIT,32,16,10,200,907,11,55,4.5,56.7,4
1374,WWillDe02,2013,DeAngelo Williams,CAR,30,15,15,201,843,3,43,4.2,56.2,3
1375,WWillDe02,2012,DeAngelo Williams,CAR,29,16,10,173,737,5,65,4.3,46.1,2
1376,WWillDe02,2011,DeAngelo Williams,CAR,28,16,14,155,836,7,74,5.4,52.3,0
1377,WWillDe02,2009,DeAngelo Williams,CAR,26,13,13,216,1117,7,77,5.2,85.9,3
1378,WWillDe02,2008,DeAngelo Williams,CAR,25,16,16,273,1515,18,69,5.5,94.7,0
1379,WWillDe02,2007,DeAngelo Williams,CAR,24,16,0,144,717,4,75,5.0,44.8,1
1380,WWillDe02,2006,DeAngelo Williams,CAR,23,13,2,121,501,1,31,4.1,38.5,1
1381,WWillHa00,1998,Harvey Williams,OAK,31,16,3,128,496,2,25,3.9,31.0,3
1382,WWillHa00,1995,Harvey Williams,OAK,28,16,16,255,1114,9,60,4.4,69.6,5
1383,WWillJa06,2019,Jamaal Williams,GNB,24,14,2,107,460,1,45,4.3,32.9,0
1384,WWillJa06,2017,Jamaal Williams,GNB,22,16,7,153,556,4,25,3.6,34.8,0
1385,WWillMo00,2005,Moe Williams,MIN,31,6,1,13,20,0,9,1.5,3.3,1
1386,WWillMo00,2004,Moe Williams,MIN,30,14,1,30,161,3,49,5.4,11.5,0
1387,WWillMo00,2003,Moe Williams,MIN,29,16,7,174,745,5,61,4.3,46.6,2
1388,WWillMo00,2002,Moe Williams,MIN,28,16,0,84,414,11,44,4.9,25.9,1
1389,WWillMo00,2001,Moe Williams,BAL,27,15,2,65,291,0,55,4.5,19.4,1
1390,WWillMo00,2000,Moe Williams,MIN,26,16,0,23,67,0,10,2.9,4.2,0
1391,WWillMo00,1999,Moe Williams,MIN,25,14,0,24,69,1,10,2.9,4.9,0
1392,WWillMo00,1997,Moe Williams,MIN,23,14,0,22,59,1,8,2.7,4.2,0
1393,WWillRi00,2011,Ricky Williams,BAL,34,16,0,108,444,2,28,4.1,27.8,2
1394,WWillRi00,2010,Ricky Williams,MIA,33,16,0,159,673,2,45,4.2,42.1,4
1395,WWillRi00,2007,Ricky Williams,MIA,30,1,0,6,15,0,6,2.5,15.0,1
1396,WWillRi00,2003,Ricky Williams,MIA,26,16,16,392,1372,9,45,3.5,85.8,7
1397,WWillRi00,2002,Ricky Williams,MIA,25,16,16,383,1853,16,63,4.8,115.8,7
1398,WWillRi00,2001,Ricky Williams,NOR,24,16,16,313,1245,6,46,4.0,77.8,8
1399,WWillRi00,2000,Ricky Williams,NOR,23,10,10,248,1000,8,26,4.0,100.0,6
1400,WWillRi00,1999,Ricky Williams,NOR,22,12,12,253,884,2,25,3.5,73.7,6
1401,YYeldT.00,2020,T.J. Yeldon,BUF,27,3,0,10,70,0,34,7.0,23.3,1
1402,YYeldT.00,2019,T.J. Yeldon,BUF,26,6,0,17,63,0,12,3.7,10.5,1
1403,YYeldT.00,2017,T.J. Yeldon,JAX,24,10,0,49,253,2,58,5.2,25.3,2
1404,YYeldT.00,2016,T.J. Yeldon,JAX,23,15,13,130,465,1,16,3.6,31.0,2
1405,YYeldT.00,2015,T.J. Yeldon,JAX,22,12,12,182,740,2,45,4.1,61.7,0
1406,YYounDa01,2015,Darrel Young,WAS,28,16,3,6,10,0,5,1.7,0.6,1
1407,YYounDa01,2014,Darrel Young,WAS,27,16,10,9,22,3,14,2.4,1.4,0
1408,YYounDa01,2013,Darrel Young,WAS,26,13,7,12,41,3,19,3.4,3.2,0
