,playerid,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles
966,MMorrAl00,2012,Alfred Morris ,WAS,24,16,16,335,1613,13,39,4.8,100.8,4
967,MMorrBa00,1999,Bam Morris ,KAN,27,12,8,120,414,3,24,3.5,34.5,3
968,MMorrBa00,1998,Bam Morris ,2TM,26,12,5,132,489,8,38,3.7,40.8,3
969,MMorrBa00,1997,Bam Morris ,BAL,25,11,8,204,774,4,25,3.8,70.4,4
970,MMorrBa00,1995,Bam Morris ,PIT,23,13,4,148,559,9,30,3.8,43.0,3
971,MMorrMa00,2010,Maurice Morris ,DET,31,14,7,90,336,5,26,3.7,24.0,1
972,MMorrMa00,2009,Maurice Morris ,DET,30,14,3,93,384,2,64,4.1,27.4,1
973,MMorrMa00,2005,Maurice Morris ,SEA,26,16,2,71,288,1,49,4.1,18.0,0
974,MMorrMa00,2004,Maurice Morris ,SEA,25,15,0,30,126,0,12,4.2,8.4,0
975,MMorrMa00,2003,Maurice Morris ,SEA,24,16,1,38,239,0,43,6.3,14.9,2
976,MMorrMa00,2002,Maurice Morris ,SEA,23,11,0,32,153,0,24,4.8,13.9,1
977,MMorrSa00,2011,Sammy Morris ,DAL,34,3,0,28,98,0,15,3.5,32.7,0
978,MMorrSa00,2010,Sammy Morris ,NWE,33,16,0,20,56,0,9,2.8,3.5,1
979,MMorrSa00,2008,Sammy Morris ,NWE,31,13,7,156,727,7,35,4.7,55.9,1
980,MMorrSa00,2007,Sammy Morris ,NWE,30,6,2,85,384,3,49,4.5,64.0,0
981,MMorrSa00,2006,Sammy Morris ,MIA,29,12,4,92,400,1,55,4.3,33.3,4
982,MMorrSa00,2005,Sammy Morris ,MIA,28,16,2,16,58,1,9,3.6,3.6,0
983,MMorrSa00,2004,Sammy Morris ,MIA,27,13,8,132,523,6,35,4.0,40.2,1
984,MMorrSa00,2003,Sammy Morris ,BUF,26,9,0,19,70,1,12,3.7,7.8,0
985,MMorrSa00,2001,Sammy Morris ,BUF,24,16,1,20,72,0,10,3.6,4.5,1
986,MMorrSa00,2000,Sammy Morris ,BUF,23,12,8,93,341,5,32,3.7,28.4,2
987,MMurrAd00,2003,Adrian Murrell,DAL,33,3,0,28,107,0,17,3.8,35.7,0
988,MMurrAd00,2000,Adrian Murrell,WAS,30,15,0,20,50,0,13,2.5,3.3,1
989,MMurrAd00,1999,Adrian Murrell,ARI,29,16,12,193,553,0,22,2.9,34.6,4
990,MMurrAd00,1998,Adrian Murrell,ARI,28,15,14,274,1042,8,32,3.8,69.5,6
991,MMurrAd00,1997,Adrian Murrell,NYJ,27,16,15,300,1086,7,43,3.6,67.9,4
992,MMurrAd00,1996,Adrian Murrell,NYJ,26,16,16,301,1249,6,78,4.1,78.1,6
993,MMurrAd00,1995,Adrian Murrell,NYJ,25,15,9,192,795,1,30,4.1,53.0,2
994,MMurrDe00,2017,DeMarco Murray,TEN,29,15,15,184,659,6,75,3.6,43.9,1
995,MMurrDe00,2016,DeMarco Murray,TEN,28,16,16,293,1287,9,75,4.4,80.4,3
996,MMurrDe00,2015,DeMarco Murray,PHI,27,15,8,193,702,6,54,3.6,46.8,2
997,MMurrDe00,2014,DeMarco Murray,DAL,26,16,16,392,1845,13,51,4.7,115.3,6
998,MMurrDe00,2013,DeMarco Murray,DAL,25,14,14,217,1121,9,43,5.2,80.1,3
999,MMurrDe00,2012,DeMarco Murray,DAL,24,10,10,161,663,4,48,4.1,66.3,3
1000,MMurrDe00,2011,DeMarco Murray,DAL,23,13,7,164,897,2,91,5.5,69.0,1
1001,MMurrLa00,2017,Latavius Murray,MIN,27,16,11,216,842,8,46,3.9,52.6,1
1002,MMurrLa00,2016,Latavius Murray,OAK,26,14,12,195,788,12,42,4.0,56.3,2
1003,MMurrLa00,2015,Latavius Murray,OAK,25,16,16,266,1066,6,54,4.0,66.6,4
1004,MMurrLa00,2014,Latavius Murray,OAK,24,15,3,82,424,2,90,5.2,28.3,1
1005,OOgboCh00,2014,Chris Ogbonnaya,2TM,28,7,0,14,50,1,9,3.6,7.1,0
1006,OOgboCh00,2013,Chris Ogbonnaya,CLE,27,16,7,49,240,0,43,4.9,15.0,2
1007,OOgboCh00,2012,Chris Ogbonnaya,CLE,26,15,1,8,30,0,9,3.8,2.0,1
1008,OOgboCh00,2011,Chris Ogbonnaya,2TM,25,13,4,76,340,1,40,4.5,26.2,2
1009,OOgboCh00,2009,Chris Ogbonnaya,STL,23,2,0,11,50,0,18,4.5,25.0,0
1010,OOlawJa00,2017,Jamize Olawale ,OAK,28,12,0,9,43,1,11,4.8,3.6,1
1011,OOlawJa00,2016,Jamize Olawale ,OAK,27,16,7,17,47,2,17,2.8,2.9,0
1012,OOlawJa00,2015,Jamize Olawale ,OAK,26,14,3,24,110,1,19,4.6,7.9,0
1013,OOlivBr01,2017,Branden Oliver,LAC,26,8,0,35,83,0,26,2.4,10.4,0
1014,OOlivBr01,2015,Branden Oliver,SDG,24,8,1,31,108,0,15,3.5,13.5,0
1015,OOlivBr01,2014,Branden Oliver,SDG,23,14,7,160,582,3,52,3.6,41.6,0
1016,OOxenKe00,1999,Ken Oxendine,ATL,24,12,9,141,452,1,20,3.2,37.7,5
1017,OOxenKe00,1998,Ken Oxendine,ATL,23,9,0,18,50,0,21,2.8,5.6,1
1018,PParkWi00,2009,Willie Parker,PIT,29,14,3,98,389,0,34,4.0,27.8,2
1019,PParkWi00,2008,Willie Parker,PIT,28,11,11,210,791,5,34,3.8,71.9,0
1020,PParkWi00,2007,Willie Parker,PIT,27,15,15,321,1316,2,32,4.1,87.7,4
1021,PParkWi00,2006,Willie Parker,PIT,26,16,16,337,1494,13,76,4.4,93.4,7
1022,PParkWi00,2005,Willie Parker,PIT,25,15,15,255,1202,4,80,4.7,80.1,4
1023,PParkWi00,2004,Willie Parker,PIT,24,8,0,32,186,0,58,5.8,23.3,0
1024,PParmBe00,2000,Bernie Parmalee ,NYJ,33,14,0,27,87,2,18,3.2,6.2,0
1025,PParmBe00,1999,Bernie Parmalee ,NYJ,32,16,0,27,133,0,18,4.9,8.3,0
1026,PParmBe00,1998,Bernie Parmalee ,MIA,31,15,0,8,20,0,10,2.5,1.3,2
1027,PParmBe00,1997,Bernie Parmalee ,MIA,30,16,4,18,59,0,12,3.3,3.7,1
1028,PParmBe00,1996,Bernie Parmalee ,MIA,29,16,0,25,80,0,17,3.2,5.0,1
1029,PParmBe00,1995,Bernie Parmalee ,MIA,28,16,12,236,878,9,40,3.7,54.9,5
1030,PPegrEr00,1997,Erric Pegram,2TM,28,15,0,28,95,2,18,3.4,6.3,1
1031,PPegrEr00,1996,Erric Pegram,PIT,27,12,4,97,509,1,27,5.2,42.4,1
1032,PPegrEr00,1995,Erric Pegram,PIT,26,15,11,213,813,5,38,3.8,54.2,9
1033,PPeriSa00,2020,Samaje Perine,CIN,25,7,0,2,3,0,3,1.5,0.4,0
1034,PPeriSa00,2019,Samaje Perine,2TM,24,7,0,5,16,0,9,3.2,2.3,0
1035,PPeriSa00,2018,Samaje Perine,WAS,23,5,0,8,32,0,11,4.0,6.4,0
1036,PPeriSa00,2017,Samaje Perine,WAS,22,16,8,175,603,1,30,3.4,37.7,2
1037,PPeteAd01,2019,Adrian Peterson,WAS,34,15,15,211,898,5,32,4.3,59.9,3
1038,PPeteAd01,2018,Adrian Peterson,WAS,33,16,16,251,1042,7,90,4.2,65.1,3
1039,PPeteAd01,2017,Adrian Peterson,2TM,32,10,7,156,529,2,27,3.4,52.9,3
1040,PPeteAd01,2016,Adrian Peterson,MIN,31,3,3,37,72,0,13,1.9,24.0,1
1041,PPeteAd01,2015,Adrian Peterson,MIN,30,16,16,327,1485,11,80,4.5,92.8,7
1042,PPeteAd01,2014,Adrian Peterson,MIN,29,1,1,21,75,0,17,3.6,75.0,0
1043,PPeteAd01,2013,Adrian Peterson,MIN,28,14,14,279,1266,10,78,4.5,90.4,5
1044,PPeteAd01,2012,Adrian Peterson,MIN,27,16,16,348,2097,12,82,6.0,131.1,4
1045,PPeteAd01,2011,Adrian Peterson,MIN,26,12,12,208,970,12,54,4.7,80.8,1
1046,PPeteAd01,2010,Adrian Peterson,MIN,25,15,15,283,1298,12,80,4.6,86.5,1
1047,PPeteAd01,2009,Adrian Peterson,MIN,24,16,15,314,1383,18,64,4.4,86.4,7
1048,PPeteAd01,2008,Adrian Peterson,MIN,23,16,15,363,1760,10,67,4.8,110.0,9
1049,PPeteAd01,2007,Adrian Peterson,MIN,22,14,9,238,1341,12,73,5.6,95.8,4
1050,PPhilLa00,1999,Lawrence Phillips,SFO,24,8,0,30,144,2,68,4.8,18.0,2
1051,PPhilLa00,1997,Lawrence Phillips,2TM,22,12,9,201,677,8,28,3.4,56.4,3
1052,PPhilLa00,1996,Lawrence Phillips,STL,21,15,11,193,632,4,38,3.3,42.1,2
1053,PPittMi00,2008,Michael Pittman,DEN,33,8,3,76,320,4,20,4.2,40.0,0
1054,PPittMi00,2007,Michael Pittman,TAM,32,10,3,68,286,0,29,4.2,28.6,1
1055,PPittMi00,2006,Michael Pittman,TAM,31,16,3,50,245,1,32,4.9,15.3,2
1056,PPittMi00,2005,Michael Pittman,TAM,30,16,4,70,436,1,64,6.2,27.3,1
1057,PPittMi00,2004,Michael Pittman,TAM,29,13,13,219,926,7,78,4.2,71.2,6
1058,PPittMi00,2003,Michael Pittman,TAM,28,16,13,187,751,0,17,4.0,46.9,4
1059,PPittMi00,2002,Michael Pittman,TAM,27,16,15,204,718,1,21,3.5,44.9,3
1060,PPittMi00,2001,Michael Pittman,ARI,26,15,14,241,846,5,42,3.5,56.4,5
1061,PPittMi00,2000,Michael Pittman,ARI,25,16,12,184,719,4,29,3.9,44.9,5
1062,PPittMi00,1999,Michael Pittman,ARI,24,10,2,64,289,2,58,4.5,28.9,3
1063,PPittMi00,1998,Michael Pittman,ARI,23,15,0,29,91,0,11,3.1,6.1,1
1064,PPortCl00,2009,Clinton Portis,WAS,28,8,8,124,494,1,78,4.0,61.8,1
1065,PPortCl00,2008,Clinton Portis,WAS,27,16,16,342,1487,9,31,4.3,92.9,3
1066,PPortCl00,2007,Clinton Portis,WAS,26,16,16,325,1262,11,32,3.9,78.9,6
1067,PPortCl00,2005,Clinton Portis,WAS,24,16,16,352,1516,11,47,4.3,94.8,3
1068,PPortCl00,2004,Clinton Portis,WAS,23,15,15,343,1315,5,64,3.8,87.7,5
1069,PPortCl00,2003,Clinton Portis,DEN,22,13,13,290,1591,14,65,5.5,122.4,3
1070,PPortCl00,2002,Clinton Portis,DEN,21,16,12,273,1508,15,59,5.5,94.3,5
1071,PPoweBi00,2018,Bilal Powell,NYJ,30,7,7,80,343,0,38,4.3,49.0,2
1072,PPoweBi00,2017,Bilal Powell,NYJ,29,15,10,178,772,5,75,4.3,51.5,1
1073,PPoweBi00,2015,Bilal Powell,NYJ,27,11,2,70,313,1,24,4.5,28.5,2
1074,PPoweBi00,2014,Bilal Powell,NYJ,26,15,1,33,141,1,15,4.3,9.4,0
1075,PPoweBi00,2013,Bilal Powell,NYJ,25,16,11,176,697,1,39,4.0,43.6,1
1076,PPoweBi00,2012,Bilal Powell,NYJ,24,14,2,110,437,4,18,4.0,31.2,0
1077,PPoweBi00,2011,Bilal Powell,NYJ,23,2,0,13,21,0,6,1.6,10.5,1
1078,PPrenTr00,2001,Travis Prentice,MIN,25,14,0,14,13,2,6,0.9,0.9,1
1079,PPrenTr00,2000,Travis Prentice,CLE,24,16,11,173,512,7,17,3.0,32.0,2
1080,RRawlTh00,2017,Thomas Rawls,SEA,24,12,3,58,157,0,23,2.7,13.1,1
1081,RRawlTh00,2015,Thomas Rawls,SEA,22,13,7,147,830,4,69,5.6,63.8,1
1082,RReecMa00,2015,Marcel Reece ,OAK,30,15,7,10,36,0,12,3.6,2.4,0
1083,RReecMa00,2014,Marcel Reece ,OAK,29,15,15,21,85,0,11,4.0,5.7,1
1084,RReecMa00,2013,Marcel Reece ,OAK,28,16,15,46,218,2,63,4.7,13.6,0
1085,RReecMa00,2012,Marcel Reece ,OAK,27,16,14,59,271,0,17,4.6,16.9,2
1086,RRhetEr00,2000,Errict Rhett,CLE,30,5,4,71,258,0,42,3.6,51.6,0
1087,RRhetEr00,1999,Errict Rhett,BAL,29,16,10,236,852,5,52,3.6,53.3,0
1088,RRhetEr00,1998,Errict Rhett,BAL,28,13,2,44,180,0,46,4.1,13.8,0
1089,RRhetEr00,1997,Errict Rhett,TAM,27,11,0,31,96,3,21,3.1,8.7,0
1090,RRhetEr00,1996,Errict Rhett,TAM,26,9,7,176,539,3,35,3.1,59.9,3
1091,RRhetEr00,1995,Errict Rhett,TAM,25,16,16,332,1207,11,21,3.6,75.4,2
1092,RRhodDo00,2010,Dominic Rhodes,IND,31,3,0,37,172,0,15,4.6,57.3,1
1093,RRhodDo00,2007,Dominic Rhodes,OAK,28,10,2,75,302,1,25,4.0,30.2,2
1094,RRhodDo00,2006,Dominic Rhodes,IND,27,16,16,187,641,5,17,3.4,40.1,3
1095,RRhodDo00,2005,Dominic Rhodes,IND,26,13,1,40,118,4,24,3.0,9.1,2
1096,RRhodDo00,2004,Dominic Rhodes,IND,25,16,0,53,254,1,55,4.8,15.9,2
1097,RRhodDo00,2003,Dominic Rhodes,IND,24,11,0,37,157,0,25,4.2,14.3,0
1098,RRhodDo00,2001,Dominic Rhodes,IND,22,15,10,233,1104,9,77,4.7,73.6,6
1099,RRiceRa00,2013,Ray Rice,BAL,26,15,15,214,660,4,47,3.1,44.0,2
1100,RRiceRa00,2012,Ray Rice,BAL,25,16,16,257,1143,9,46,4.4,71.4,1
1101,RRiceRa00,2011,Ray Rice,BAL,24,16,16,291,1364,12,70,4.7,85.3,2
1102,RRiceRa00,2010,Ray Rice,BAL,23,16,14,307,1220,5,50,4.0,76.3,0
1103,RRiceRa00,2009,Ray Rice,BAL,22,16,15,254,1339,7,59,5.3,83.7,3
1104,RRiceRa00,2008,Ray Rice,BAL,21,13,4,107,454,0,60,4.2,34.9,1
1105,RRichTr00,2014,Trent Richardson ,IND,24,15,12,159,519,3,27,3.3,34.6,2
1106,RRichTr00,2013,Trent Richardson ,2TM,23,16,10,188,563,3,22,3.0,35.2,3
1107,RRichTr00,2012,Trent Richardson ,CLE,22,15,15,267,950,11,32,3.6,63.3,3
1108,RRiddTh00,2018,Theo Riddick,DET,27,14,3,40,171,0,19,4.3,12.2,0
1109,RRiddTh00,2016,Theo Riddick,DET,25,10,8,92,357,1,42,3.9,35.7,0
1110,RRiddTh00,2014,Theo Riddick,DET,23,14,2,20,51,0,9,2.6,3.6,0
1111,RRiddTh00,2013,Theo Riddick,DET,22,14,0,9,25,1,7,2.8,1.8,0
1112,RRidlSt00,2018,Stevan Ridley,PIT,29,10,0,29,80,1,12,2.8,8.0,2
1113,RRidlSt00,2017,Stevan Ridley,PIT,28,2,1,26,108,1,21,4.2,54.0,0
1114,RRidlSt00,2015,Stevan Ridley,NYJ,26,8,1,36,90,0,13,2.5,11.3,0
1115,RRidlSt00,2012,Stevan Ridley,NWE,23,16,12,290,1263,12,41,4.4,78.9,4
1116,RRidlSt00,2011,Stevan Ridley,NWE,22,16,2,87,441,1,33,5.1,27.6,1
1117,RRobiDe00,2016,Denard Robinson,JAX,26,13,1,41,144,0,9,3.5,11.1,0
1118,RRobiDe00,2015,Denard Robinson,JAX,25,13,3,67,266,1,31,4.0,20.5,3
1119,RRobiDe00,2014,Denard Robinson,JAX,24,13,9,135,582,4,41,4.3,44.8,2
1120,RRobiDe00,2013,Denard Robinson,JAX,23,16,0,20,66,0,24,3.3,4.1,3
1121,RRussLe00,1996,Leonard Russell,SDG,27,15,15,219,713,7,21,3.3,47.5,6
1122,RRussLe00,1995,Leonard Russell,STL,26,13,3,66,203,0,18,3.1,15.6,2
1123,SSalaRa00,1997,Rashaan Salaam ,CHI,23,3,3,31,112,0,17,3.6,37.3,2
1124,SSalaRa00,1995,Rashaan Salaam ,CHI,21,16,11,296,1074,10,42,3.6,67.1,9
1125,SSandBa00,1998,Barry Sanders ,DET,30,16,16,343,1491,4,73,4.3,93.2,3
1126,SSandBa00,1997,Barry Sanders ,DET,29,16,16,335,2053,11,82,6.1,128.3,3
1127,SSandBa00,1996,Barry Sanders ,DET,28,16,16,307,1553,11,54,5.1,97.1,4
1128,SSandBa00,1995,Barry Sanders ,DET,27,16,16,314,1500,11,75,4.8,93.8,3
1129,SSandMi01,2019,Miles Sanders ,PHI,22,16,11,179,818,3,65,4.6,51.1,2
1130,SSankBi00,2015,Bishop Sankey,TEN,23,13,3,47,193,1,16,4.1,14.8,2
1131,SSankBi00,2014,Bishop Sankey,TEN,22,16,9,152,569,2,22,3.7,35.6,2
