"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY"
"49ers","432","278","64.4","7.9","3432","20","11","93.6","167","38.7","47","4","82","44","289"
"Bears","595","336","56.5","5.9","3501","14","22","66.1","188","31.6","28","6","78T","43","257"
"Bengals","504","302","59.9","7.1","3603","21","9","88.3","171","33.9","40","8","77T","46","287"
"Bills","546","293","53.7","5.9","3213","14","25","60.8","144","26.4","37","9","77T","46","338"
"Broncos","513","287","55.9","7.2","3704","27","11","87.4","172","33.5","53","10","78","35","210"
"Buccaneers","404","224","55.4","6.5","2638","21","12","80.4","134","33.2","33","6","59T","32","196"
"Cardinals","602","317","52.7","6.6","3953","19","22","68.6","186","30.9","47","10","70T","78","495"
"Chargers","565","291","51.5","6.2","3475","12","21","62.2","161","28.5","46","9","72T","51","386"
"Chiefs","493","281","57","6.3","3129","20","10","81.1","163","33.1","43","5","55T","32","236"
"Colts","523","317","60.6","6.8","3560","16","17","77.6","171","32.7","34","7","58","62","418"
"Cowboys","553","314","56.8","6.2","3454","19","12","77.8","170","30.7","36","7","64T","39","313"
"Dolphins","576","332","57.6","6.8","3945","16","12","79.2","199","34.5","51","4","55","22","153"
"Eagles","587","330","56.2","6.8","4009","22","16","78.5","203","34.6","46","5","72T","64","362"
"Falcons","484","273","56.4","7.1","3445","26","11","87.2","168","34.7","40","9","56","54","372"
"Giants","474","249","52.5","5.8","2763","16","12","70.9","124","26.2","35","7","68T","32","238"
"Jaguars","504","313","62.1","7.8","3922","20","9","92","187","37.1","60","11","75","40","218"
"Jets","564","319","56.6","6.3","3555","20","10","79.9","173","30.7","44","2","70","48","313"
"Lions","540","304","56.3","6.7","3605","19","17","75.4","166","30.7","45","8","79","41","271"
"Oilers","420","220","52.4","6.4","2704","15","13","71.6","136","32.4","37","5","55T","32","199"
"Packers","523","309","59.1","7.4","3896","35","16","91.9","191","36.5","61","9","74","26","191"
"Panthers","534","289","54.1","5.9","3156","17","24","63.7","170","31.8","36","3","59T","44","311"
"Patriots","532","321","60.3","7.2","3808","31","15","89.9","173","32.5","49","12","76","30","258"
"Raiders","529","294","55.6","7.5","3944","29","10","89.9","170","32.1","59","10","76","58","430"
"Rams","526","271","51.5","6.7","3524","14","15","69.9","161","30.6","46","12","76","44","326"
"Ravens","586","338","57.7","6.7","3929","25","16","80.9","176","30","44","8","92","37","227"
"Redskins","547","283","51.7","6.5","3581","22","22","69.1","192","35.1","45","7","69","33","198"
"Saints","458","228","49.8","6.3","2901","13","33","49.4","127","27.7","39","7","89T","50","317"
"Seahawks","609","359","58.9","6.9","4187","26","21","79.7","207","34","55","10","61","36","228"
"Steelers","466","253","54.3","6.9","3215","22","19","74.8","157","33.7","41","10","69T","20","152"
"Vikings","540","319","59.1","6.6","3537","26","16","82.3","177","32.8","42","7","56","33","224"
