"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY"
"49ers","511","299","58.5","7","3566","25","15","84","172","33.7","46","7","75T","28","158"
"Bears","515","271","52.6","5.6","2905","12","20","61","143","27.8","37","5","61T","43","288"
"Bengals","520","324","62.3","6.9","3591","26","15","87.4","181","34.8","37","11","82T","37","249"
"Bills","502","293","58.4","6.1","3069","11","17","69.4","150","29.9","31","2","54T","51","385"
"Broncos","479","280","58.5","6.5","3126","19","18","75.6","162","33.8","35","6","72","25","157"
"Browns","509","313","61.5","6.1","3116","17","18","75.2","153","30.1","25","6","71T","40","282"
"Buccaneers","592","369","62.3","6.7","3941","27","22","81.5","190","32.1","38","9","76T","23","136"
"Cardinals","534","303","56.7","6.1","3265","18","22","68.9","147","27.5","38","8","71T","44","306"
"Chargers","525","297","56.6","6.1","3226","21","19","73.1","146","27.8","45","6","73T","29","205"
"Chiefs","536","339","63.2","7.7","4113","24","12","92.4","201","37.5","55","8","67T","21","132"
"Colts","569","381","67","7.5","4289","29","10","99","212","37.3","45","9","79T","19","110"
"Cowboys","510","294","57.6","6.6","3347","17","21","71.4","149","29.2","49","7","64","37","185"
"Dolphins","450","257","57.1","6.7","3001","17","19","72.5","145","32.2","43","5","80T","31","209"
"Eagles","484","279","57.6","6.8","3273","17","11","80.5","156","32.2","45","9","59","43","253"
"Giants","616","344","55.8","5.9","3642","16","20","68.4","184","29.9","35","8","77T","44","259"
"Jaguars","515","303","58.8","6.6","3421","17","17","76","163","31.7","40","8","84T","28","136"
"Jets","496","312","62.9","7.1","3524","20","14","85.8","181","36.5","44","8","65T","31","208"
"Lions","588","319","54.3","5.1","2988","17","24","61.1","152","25.9","26","3","72T","11","64"
"Packers","473","310","65.5","7.1","3377","32","21","90.5","166","35.1","42","7","66T","19","137"
"Panthers","460","270","58.7","7","3238","19","16","79.6","146","31.7","46","9","67T","26","188"
"Patriots","537","320","59.6","6.8","3651","23","13","84.3","177","33","44","8","82T","32","219"
"Raiders","521","278","53.4","5.7","2988","9","14","65","140","26.9","38","2","47T","43","237"
"Rams","600","377","62.8","7.1","4287","23","23","81","211","35.2","64","6","48","43","326"
"Redskins","527","283","53.7","6.2","3273","21","16","73.3","156","29.6","45","4","64","43","267"
"Saints","535","314","58.7","6.8","3641","25","8","88.7","177","33.1","36","7","76T","36","203"
"Seahawks","521","317","60.8","7.4","3872","27","16","88.2","190","36.5","54","5","80T","43","254"
"Steelers","532","306","57.5","6.7","3548","19","17","76.4","174","32.7","46","5","81T","42","244"
"Texans","439","248","56.5","6.5","2841","14","18","69.7","127","28.9","32","7","78T","36","186"
"Titans","502","315","62.7","8","4031","30","9","100.3","211","42","55","12","73","25","153"
"Vikings","520","333","64","8","4169","32","13","99","194","37.3","52","15","72T","42","218"
