,Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
27,Texans,471,286,60.7,7.5,3547,16,14.0,83.0,174.0,36.9,47,6,69,49,301.0,2004
28,Titans,589,356,60.4,6.7,3933,27,19.0,82.1,200.0,34.0,46,5,48,44,317.0,2004
29,Vikings,552,380,68.8,8.6,4754,39,12.0,109.8,225.0,40.8,64,18,82,46,238.0,2004
0,49ers,389,204,52.4,5.6,2190,8,21.0,53.6,96.0,24.7,27,4,89,48,292.0,2005
1,Bears,418,219,52.4,5.3,2201,11,15.0,61.5,111.0,26.6,27,4,54,31,199.0,2005
2,Bengals,538,362,67.3,7.3,3935,32,14.0,97.6,203.0,37.7,43,9,70,21,115.0,2005
3,Bills,459,269,58.6,6.2,2852,18,16.0,75.4,129.0,28.1,29,9,65,43,337.0,2005
4,Broncos,465,279,60.0,7.3,3373,18,7.0,88.9,162.0,34.8,44,8,72,23,146.0,2005
5,Browns,497,297,59.8,6.7,3323,15,17.0,75.5,149.0,30.0,38,8,80,46,276.0,2005
6,Buccaneers,487,303,62.2,6.5,3171,17,14.0,80.7,161.0,33.1,34,6,80,41,281.0,2005
7,Cardinals,670,419,62.5,7.0,4723,21,21.0,81.0,224.0,33.4,63,12,63,45,286.0,2005
8,Chargers,526,338,64.3,7.1,3738,27,16.0,89.7,191.0,36.3,48,4,54,31,243.0,2005
9,Chiefs,507,317,62.5,7.9,4014,17,10.0,90.1,182.0,35.9,51,11,60,32,204.0,2005
10,Colts,515,347,67.4,8.1,4191,31,11.0,103.3,217.0,42.1,49,7,80,20,95.0,2005
11,Cowboys,500,300,60.0,7.3,3639,23,17.0,83.6,177.0,35.4,42,9,71,50,298.0,2005
12,Dolphins,556,291,52.3,6.2,3458,22,16.0,72.8,159.0,28.6,44,11,77,26,158.0,2005
13,Eagles,620,337,54.4,6.3,3903,21,20.0,71.5,182.0,29.4,49,8,91,42,226.0,2005
14,Giants,558,294,52.7,6.7,3762,24,17.0,75.7,172.0,30.8,49,8,78,28,184.0,2005
15,Jaguars,487,283,58.1,6.9,3352,21,6.0,88.4,170.0,34.9,43,5,45,32,162.0,2005
16,Jets,470,268,57.0,6.4,2989,11,15.0,70.6,146.0,31.1,34,5,60,53,347.0,2005
17,Lions,520,297,57.1,5.8,3021,15,18.0,69.1,151.0,29.0,35,8,86,31,173.0,2005
18,Packers,626,383,61.2,6.3,3964,20,30.0,70.1,206.0,32.9,40,7,59,27,198.0,2005
19,Panthers,449,269,59.9,7.8,3485,25,16.0,88.1,157.0,35.0,44,13,80,28,214.0,2005
20,Patriots,564,352,62.4,7.7,4322,28,15.0,91.5,204.0,36.2,62,9,71,28,202.0,2005
21,Raiders,591,316,53.5,6.6,3883,21,14.0,76.0,189.0,32.0,50,6,79,45,301.0,2005
22,Rams,599,392,65.4,7.3,4351,23,24.0,83.0,209.0,34.9,41,8,83,46,315.0,2005
23,Redskins,481,278,57.8,7.0,3346,25,11.0,87.0,166.0,34.5,40,11,78,31,240.0,2005
24,Saints,553,308,55.7,6.5,3604,15,24.0,66.6,182.0,32.9,47,5,66,41,261.0,2005
25,Seahawks,474,307,64.8,7.7,3632,25,10.0,96.8,192.0,40.5,44,8,56,27,174.0,2005
26,Steelers,379,228,60.2,8.2,3104,21,14.0,89.4,144.0,38.0,44,14,85,32,178.0,2005
27,Texans,449,270,60.1,5.9,2661,15,13.0,76.0,142.0,31.6,21,2,53,68,424.0,2005
28,Titans,594,358,60.3,6.4,3797,20,14.0,80.3,191.0,32.2,34,8,57,31,200.0,2005
29,Vikings,510,323,63.3,6.8,3449,18,16.0,81.7,169.0,33.1,31,8,80,54,303.0,2005
0,49ers,444,257,57.9,6.5,2890,16,16.0,74.4,132.0,29.7,34,8,75,35,202.0,2006
1,Bears,514,282,54.9,6.7,3446,24,22.0,73.5,161.0,31.3,50,9,75,25,165.0,2006
2,Bengals,523,327,62.5,7.8,4066,28,13.0,94.1,200.0,38.2,53,15,74,36,233.0,2006
3,Bills,431,268,62.2,7.1,3051,19,14.0,84.6,132.0,30.6,35,10,83,47,332.0,2006
4,Broncos,454,256,56.4,6.6,2995,20,18.0,74.7,151.0,33.3,34,6,83,31,196.0,2006
5,Browns,512,318,62.1,6.3,3247,15,25.0,69.7,153.0,29.9,32,8,75,54,349.0,2006
6,Buccaneers,535,296,55.3,5.6,2994,14,18.0,66.2,133.0,24.9,30,7,64,33,196.0,2006
7,Cardinals,545,322,59.1,7.2,3924,17,17.0,78.7,187.0,34.3,50,11,64,35,262.0,2006
8,Chargers,466,287,61.6,7.3,3412,24,9.0,93.0,169.0,36.3,41,5,57,28,150.0,2006
9,Chiefs,450,272,60.4,7.2,3243,18,12.0,84.7,184.0,40.9,36,5,78,41,243.0,2006
10,Colts,557,362,65.0,7.9,4397,31,9.0,101.0,241.0,43.3,53,7,68,15,89.0,2006
11,Cowboys,506,310,61.3,8.0,4067,26,21.0,86.5,197.0,38.9,56,12,56,37,231.0,2006
12,Dolphins,591,342,57.9,6.1,3577,16,19.0,71.2,180.0,30.5,37,6,52,41,290.0,2006
13,Eagles,544,323,59.4,7.9,4309,31,9.0,96.7,189.0,34.7,63,19,89,28,190.0,2006
14,Giants,523,301,57.6,6.2,3244,24,18.0,76.8,163.0,31.2,33,8,55,25,186.0,2006
15,Jaguars,446,266,59.6,6.9,3060,17,14.0,80.0,147.0,33.0,39,5,51,30,178.0,2006
16,Jets,488,313,64.1,6.9,3352,17,16.0,82.1,161.0,33.0,38,9,71,34,199.0,2006
17,Lions,596,372,62.4,7.1,4208,21,22.0,79.9,208.0,34.9,59,3,60,63,388.0,2006
18,Packers,630,350,55.6,6.3,3947,18,18.0,72.1,185.0,29.4,49,8,82,24,152.0,2006
19,Panthers,539,325,60.3,6.5,3486,19,17.0,77.9,158.0,29.3,37,7,72,32,222.0,2006
20,Patriots,527,326,61.9,6.8,3590,25,12.0,88.3,181.0,34.3,47,8,62,29,190.0,2006
21,Raiders,483,263,54.5,5.9,2850,7,24.0,56.2,144.0,29.8,28,2,57,72,430.0,2006
22,Rams,592,371,62.7,7.3,4328,24,8.0,92.7,212.0,35.8,61,10,67,49,366.0,2006
23,Redskins,470,274,58.3,6.8,3174,19,10.0,83.4,150.0,31.9,39,10,74,19,147.0,2006
24,Saints,580,372,64.1,8.0,4626,27,13.0,94.9,207.0,35.7,65,20,86,23,123.0,2006
25,Seahawks,512,292,57.0,6.6,3369,26,22.0,76.0,167.0,32.6,41,7,72,49,315.0,2006
26,Steelers,523,312,59.7,7.7,4026,23,23.0,80.2,201.0,38.4,49,10,87,49,293.0,2006
27,Texans,481,329,68.4,6.3,3032,14,13.0,83.8,156.0,32.4,29,3,53,43,254.0,2006
28,Titans,447,226,50.6,6.1,2748,13,19.0,61.8,133.0,29.8,42,1,53,29,152.0,2006
29,Vikings,540,332,61.5,6.3,3402,13,20.0,72.2,160.0,29.6,44,6,50,43,279.0,2006
0,49ers,513,274,53.4,5.2,2685,15,17.0,64.3,140.0,27.3,30,4,57,55,365.0,2007
1,Bears,569,327,57.5,6.5,3701,18,21.0,72.2,168.0,29.5,44,8,81,43,339.0,2007
2,Bengals,575,373,64.9,7.2,4131,26,20.0,86.7,213.0,37.0,51,8,70,17,119.0,2007
3,Bills,445,263,59.1,6.4,2842,12,14.0,73.8,141.0,31.7,33,6,85,26,208.0,2007
4,Broncos,515,326,63.3,7.3,3759,21,15.0,86.7,187.0,36.3,42,7,68,32,175.0,2007
5,Browns,545,305,56.0,7.1,3866,29,20.0,80.7,192.0,35.2,53,6,78,19,140.0,2007
6,Buccaneers,490,316,64.5,7.3,3579,18,8.0,91.7,162.0,33.1,41,11,69,36,222.0,2007
7,Cardinals,590,356,60.3,7.2,4228,32,24.0,83.4,210.0,35.6,52,7,62,24,163.0,2007
8,Chargers,471,281,59.7,6.7,3175,22,16.0,81.3,158.0,33.5,44,4,49,24,170.0,2007
9,Chiefs,563,335,59.5,6.3,3525,17,20.0,73.0,171.0,30.4,40,2,58,55,344.0,2007
10,Colts,551,355,64.4,7.6,4172,32,14.0,96.1,212.0,38.5,53,9,73,23,139.0,2007
11,Cowboys,531,342,64.4,8.1,4290,36,19.0,97.1,217.0,40.9,56,11,59,25,185.0,2007
12,Dolphins,558,318,57.0,5.9,3319,12,16.0,69.6,162.0,29.0,41,3,64,42,288.0,2007
13,Eagles,577,350,60.7,6.9,4005,24,15.0,84.6,186.0,32.2,43,11,75,49,250.0,2007
